name;synonyme
Vyborg;worcester mass
Worcester Ma;worchester ma
Ylimarkku;worchester ma
Wurzburg;wurzburg
Ylistaro;wurzburg
Vyborg;wyburg
Ylivieska;wyburg
York;york
NA;york
Zürich;zurich
NA;zurich
