publisher	self_published	Count
Savon työväen sanomalehti- ja Kirjapaino-osuuskunta	FALSE	  13
Osuuskunta Veljeys	FALSE	  13
Helsingin kustannus	FALSE	  13
MercatorTryckeri	FALSE	  13
Suomen talousseura	FALSE	  13
O.W. Backman	FALSE	  13
Helsingin Kustannusosake	FALSE	  13
Helsingin Soutuklubi	NA	  12
Pečatano v' Glavnom' Gidrografičeskom' Upravlenìi Morskogo Ministerstva	NA	  12
Gos. tip	FALSE	  12
Clouberg ja Kumpp	NA	  12
Karsten	FALSE	  12
Weurlander	FALSE	  12
Helminen	FALSE	  12
P. Tikkanen	FALSE	  12
Kurikka	FALSE	  12
Harald	FALSE	  12
Stenhammar och Palmblad	FALSE	  12
C.A. Gottlund	FALSE	  12
Savo-karjalainen osakunta	NA	  12
W. ja G	FALSE	  12
Breitkopf & Härtel	FALSE	  12
Missionsbokhandeln	FALSE	  12
S. Hirzel	FALSE	  12
Åbo Tidning	FALSE	  12
R. Boldt	FALSE	  12
Finska Läkaresällskapet	FALSE	  12
Ej i bokhandeln	FALSE	  12
Osuuskunta Länsi-Suomi	FALSE	  12
Suom. sos. Kustannus yht	FALSE	  12
Brage	FALSE	  12
Säde	FALSE	  12
Arvi A. Karisto	FALSE	  12
Suomalainen teologinen kirjallisuusseura	FALSE	  12
Lindstedt	FALSE	  12
Suomen kuuromykkäin liitto	FALSE	  12
Bonsdorff, Adolf Von	 TRUE	  12
Helluntaiherätys	FALSE	  12
Etelä-Pohjanmaan nuorisoseura	FALSE	  12
Pohjolan Kustannus	FALSE	  12
Vilho Leikas & Co	FALSE	  12
Hissa	FALSE	  12
Veckans Krönikas redaktion	FALSE	  12
Osuuskunta Visa	FALSE	  12
Koulutarpeiden keskusliike	FALSE	  12
Frölich, Samuel Lorenz	FALSE	  12
S.l	FALSE	  12
Wilde, Jacob	FALSE	  12
Wennberg och compagnie	FALSE	  12
Lit. F. Livendal	NA	  11
F. Liewendals lithogr.Tryckeri	NA	  11
Norstedt	FALSE	  11
Maanmittauksen ylihallitus	NA	  11
Frenckelliläinen Kirjapaino	FALSE	  11
C.J. Wikberg	FALSE	  11
Wasa Tidning	FALSE	  11
Länkelä	FALSE	  11
Lagerspetz	FALSE	  11
