original	polished	Count
[Finska fornminnesföreningen]	finska fornminnesföreningen	20
Aikain Wartija	aikain wartija	20
Aikain Vartija	aikain vartija	20
Pekka Brofeldt	pekka brofeldt	20
Suomen sos.-dem. nuorisoliitto	suomen sos dem nuorisoliitto	20
excusa â Petro Hansonio	â petro hansonio	20
impressa â Petro Hansonio, Acad. typog.	â petro hansonio acad typog	20
prändätty cun. kirj. pränt. Henr. C. Merckellin leskeldä	cun kirj henr c merckellin leskeldä	20
[E. Flodström]	e flodström	20
af Iohan Winter	iohan winter	20
prändätty Kuningalisesa suomalaisesa prändisä	kuningalisesa suomalaisesa prändisä	20
typis Joh. Christoph. Frenckell	joh christoph frenckell	20
impressit direct. & typogr. reg. magn. duc. Finland. Jacob. Merckell	typogr reg magn duc finland jacob merckell	20
Finska Vetenskaps-Societeten	finska vetenskaps societeten	19
Emil Hagelberg	emil hagelberg	19
M. V. Vuolukka	m v vuolukka	19
Uudenmaan Eläinsuojeluyhdistys	uudenmaan eläinsuojeluyhdistys	19
[Finsk militär tidskrift]	finsk militär tidskrift	19
J. F. Granlund	f granlund	19
Försäkringsaktiebolaget Kaleva	försäkringsaktiebolaget kaleva	19
Akademiska bokhandeln	akademiska bokhandeln	19
Bärlund	bärlund	19
Bertrand	bertrand	19
Jyväskylän kirjapaino	jyväskylän kirjapaino	19
Svenska litteratursälskapet i Finland	svenska litteratursälskapet i finland	19
Oulun kirjapaino-osakeyhtiö	oulun kirjapaino osakeyhtiö	19
Lindstedts antikvariska bokhandel	lindstedts antikvariska bokhandel	19
Päivälehden kp.	päivälehden kp	19
W. Hagelstam, distr.	w hagelstam distr	19
[Folkupplysningssällskapet]	folkupplysningssällskapet	19
[Johan Höjers encka]	johan höjers encka	19
prändätty cun. kirj. pränt. H. C. Merckelin leskeldä	cun kirj h c merckelin leskeldä	19
prändätty J. C. Frenckellildä	c frenckellildä	19
[Evald Ziervogel]	evald ziervogel	19
excusa typis Acad. apud viduam Petri Wald	acad apud petri wald	19
impress. Joh. Christoph. Frenckell	impress joh christoph frenckell	19
Duncker & Humblot	duncker humblot	18
Wesander	wesander	18
Amerikan sanomat	amerikan sanomat	18
Sanoma	sanoma	18
tryckt i Frenckellska tryckeriet	frenckellska tryckeriet	18
[Wickström]	wickström	18
tryckt hos Johan Ch. Frenckell	johan ch frenckell	18
Duodecim-seura	duodecim seura	18
Nuorten miesten kristillinen yhdistys	nuorten miesten kristillinen yhdistys	18
Luth. Evankeliumi-yhdistys	luth evankeliumi yhdistys	18
Finlands Utsädesförening	finlands utsädesförening	18
Finska Statsjärnvägarna	finska statsjärnvägarna	18
H. Nurhonen	h nurhonen	18
Finska vetenskapsspcieteten	finska vetenskapsspcieteten	18
exc. Jo. Wallius	jo wallius	18
prändätty G. W. Londicerildä	w londicerildä	18
H. Fougt	h fougt	18
typis Meurerianis	meurerianis	18
Suomen Eläinsuojelusyhdistys	suomen eläinsuojelusyhdistys	17
Tietosanakirja	tietosanakirja	17
[Finsk kvinnoförening]	finsk kvinnoförening	17
[Suomen luotsi- ja majakkalaitoksen ylihallitus]	suomen luotsi majakkalaitoksen ylihallitus	17
Valo	valo	17
Frenckell :;Edlund	frenckell edlund	17
Lindeberg	lindeberg	17
Bergdahl	bergdahl	17
Helsingin nuorten miesten kristillinen yhdistys	helsingin nuorten miesten kristillinen yhdistys	17
Turistföreningen	turistföreningen	17
Tampereen kirjapaino-osakeyhtiö	tampereen kirjapaino osakeyhtiö	17
Rauhan sanomat	rauhan sanomat	17
Lilius ja Hertzberg	lilius hertzberg	17
Société néophilogique de Helsinki	société néophilogique de helsinki	17
Lääkintöhallitus	lääkintöhallitus	17
Pellervo-seura	pellervo seura	17
P. R. Wiitanen	p r wiitanen	17
[Suomalainen puolue]	suomalainen puolue	17
Hagelstams bokhandel	hagelstams bokhandel	17
Suomen metsänhoitoyhdistys Tapio	suomen metsänhoitoyhdistys tapio	17
excusa â Petro Hansonio A. t.	â petro hansonio t	17
tryckt hos Iohan Christopher Merckell	iohan christopher merckell	17
prändätty cun. kirj. pränt. Henr. C. Merckelin leskeldä	cun kirj henr c merckelin leskeldä	17
prändätty Cuningallisesa suomalaisesa prändisä	cuningallisesa suomalaisesa prändisä	17
prändätty Cuningallisesa suomalaisesa prändisä, Joh. A. Carlbohmilda	cuningallisesa suomalaisesa prändisä joh carlbohmilda	17
exc. Joh. Kiaempe, R. Ac. typ.	joh kiaempe r ac typ	17
exc. R. Ac. typ. Joh. Kiämpe	r ac typ joh kiämpe	17
Hufvudstadsblad'in kirjapaino	hufvudstadsblad'in kirjapaino	16
Sylviayhdistys	sylviayhdistys	16
Minerva	minerva	16
Hämeen sanomain kirjapaino	hämeen sanomain kirjapaino	16
[Svenska folkskolans vänner]	svenska folkskolans vänner	16
J. W. Lillja	w lillja	16
Almqvist & Wiksell	almqvist wiksell	16
Frälsningsarmén	frälsningsarmén	16
Lindgren	lindgren	16
prändätty Georg Wilh. Londicerildä	georg wilh londicerildä	16
Suomi	suomi	16
B. B. Bergdahl	b b bergdahl	16
[Georg Wilhelm Londicer]	georg wilhelm londicer	16
Suomalaisen puolueen kanslia	suomalaisen puolueen kanslia	16
Kansallismielinen nuorisoliitto	kansallismielinen nuorisoliitto	16
Karjalan veljeskunta	karjalan veljeskunta	16
Akademiska Bokhandeln, distr.	akademiska bokhandeln distr	16
[Finska pappersindustriidkarenes förbund]	finska pappersindustriidkarenes förbund	16
impressa â Petro Hanson, Acad. typog.	â petro hanson acad typog	16
excudebat Eschillus Matthiae	eschillus matthiae	16
J. H. Werner	h werner	16
tryckt hos Peter Jöransson Nyström	peter jöransson nyström	16
[Merckell]	merckell	16
Zilliacus	zilliacus	15
G. W. Edlunds förlag	w edlunds förlag	15
[Emil Hagelberg]	emil hagelberg	15
Öhman	öhman	15
prändätty Frenckellin kirjan prändisä	frenckellin kirjan prändisä	15
Kaiserlichen Akademie der Wissenschaften	kaiserlichen akademie wissenschaften	15
Nykterhetens Vänner	nykterhetens vänner	15
Kirjoittaja	kirjoittaja	15
Akateeminen kirjakauppa, jakaja	akateeminen kirjakauppa jakaja	15
K. Kaatra	k kaatra	15
Sos.-dem. eduskuntaryhmä	sos dem eduskuntaryhmä	15
Savon työväen sanomalehti-osuuskunta	savon työväen sanomalehti osuuskunta	15
Suomen säästöpankkiyhdistys	suomen säästöpankkiyhdistys	15
Suomen geologinen toimisto	suomen geologinen toimisto	15
Tuberkulosin vastustamisyhdistys	tuberkulosin vastustamisyhdistys	15
Akademiska Bokhandeln, jakaja	akademiska bokhandeln jakaja	15
Geologiska Kommissionen :;Akademiska Bokhandeln, jakaja	geologiska kommissionen akademiska bokhandeln jakaja	15
Jyväskylän kaupunki	jyväskylän kaupunki	15
impr. apud Joh. Laurentii Wallium	apud joh laurentii wallium	15
excusa typis Acad. apud viduam Petri Waldz	acad apud petri waldz	15
tryckt hos Peter Hesselberg	peter hesselberg	15
impressit Johannes Christoph. Frenckell	johannes christoph frenckell	15
aff Iohan Winter	iohan winter	15
imprimebat Petrus Hansonius Acad. typ.	petrus hansonius acad typ	15
excud. Joh. Kiämpe Reg. Acad. typ.	joh kiämpe reg acad typ	15
exc. Joh. Kiämpe R. Ac. typ.	joh kiämpe r ac typ	15
[N. M. Lindh]	n m lindh	14
J. Simelii arfvingar	simelii arfvingar	14
tryckt hos Carl Delén	carl delén	14
Ljus	ljus	14
Centraltryckeriet	centraltryckeriet	14
[Kyrkomötet]	kyrkomötet	14
Finska vetenskapssocieteten	finska vetenskapssocieteten	14
Työväen sanomalehti-osakeyhtiö	työväen sanomalehti osakeyhtiö	14
Suomen muinaismuisto-yhdistys	suomen muinaismuisto yhdistys	14
