original	polished	Count
prändätty directeurildä ja cuning:da kirjan pränt. suuresa-ruhtinan-maasa Suomesa, Jacob Merckellildä	Merckell, Jacob	   3
[Geografiska föreningen i Finland]		   3
Kansainvälinen raamatuntutkijain seura		   3
Herman Lindell		   3
Finska Sågvärksägarne		   3
Vilho Leikas & C:o		   3
excudebant Zeipel et Palmblad	Zeipel och Palmblad	   3
Aikain Wartija		   3
Svenska folkskolans vänner		   3
Frälsningsarmén		   3
Osuuskunta Länsi-Suomi		   3
Konkordia-liitto		   3
tryckt hos Kongl. Acad. boktr. J. C. Frenckells enka	Johan Christopher Frenckellin leski	   3
Kansanvalistus-seura	Kansanvalistusseura	   3
Suomalainen Kirjallisuuden Seura		   3
excusa â Petro Hansonio Acad. typog.	Hansson, Peter	   3
Kivekäs		   3
Hämäläinen		   3
excusa â Petro Hansonio, Acad. typogr.	Hansson, Peter	   3
J. F. Olánin kirjakauppa		   3
Zilliacus		   3
J. H. Werner	Werner, Johan Henric	   3
prändätty Kuningallisesa suomalaisesa prändisä	Carlbohm, Arvid	   3
Tuberkulosin vastustamisyhdistys		   3
Svenska litteratursälskapet i Finland		   3
P. Momma	Momma, Peter	   3
tryckt hos Iohan Christopher Merckell	Henric Christopher Merckellin leski	   3
Waseniuska bokhandeln, distr.		   3
[Erik Flodström]	Flodström, Eric	   3
B. B. Bergdahl		   3
[Anders Björkman]	Björckman, Anders	   3
[F. P. Paulssen]	Henric Christopher Merckellin leski	   3
[apud viduam J. Höjeri]	Johan Höjers encka	   3
Hj. Hagelberg		   3
imprimebat Petrus Wald, Acad. typog	Wald, Peder Eriksson	   3
Nordstedt		   3
impressit direct. & typogr. reg. magn. duc. Finland. Jacob. Merckell	Merckell, Jacob	   3
Bergbom		   3
Uususkonnollinen kustannusliike		   3
Pohjolan kustannus		   3
Luth. Evankeliumi-yhdistys		   3
[L. Salvius]	Salvius, Lars	   3
Suomen valtionrautatiet		   3
litteris viduae direct. Joh. Edman	Johan Edmans enka	   2
präntätty directörin Johan A. Carlbohmin tykönä	Carlbohm, Johan Arvid	   2
tryckt på direct. Lars Salvii kostnad	Salvius, Lars	   2
excusa â Johanne L. Wallio, Regiae Univ. ibid. typogr.	Wall, Johan Larsson	   2
N. M. Lindh		   2
G. W. Edlundin kustannusoy.		   2
Työkansan kustannusyhtiö		   2
J. W. Lillja & Co		   2
tryckt hos Johan Ch. Frenckell	Frenckell, Johan Christopher II	   2
impressa apud Petrum Wald, Acad. typ.	Wald, Peder Eriksson	   2
af Johan Winter, kongl. booktryckiare	Winter, Johan	   2
impr. Joh. Waldio, Reg. Univ. Aboëns. typogr.	Wall, Johan Larsson	   2
prändätyt Frenckellin kirjan-prändisä	Frenckell, Johan Christopher II	   2
Turistföreningen		   2
Hagelstams bokhandel		   2
J. C. Frenckell	Frenckell, Johan Christopher I	   2
excudit Johannes Winter, typ. reg.	Winter, Johan	   2
Tytty Lagerstedt		   2
Ignatius Meurerin waiwal ja culutuxel	Meurer, Ignatius	   2
prändätty cun. kirj. pränt. Henr. C. Merckelin leskeldä	Henric Christopher Merckellin leski	   2
Putnam		   2
Cuningallinen suomalainen prändi	Carlbohm, Arvid	   2
Karsten		   2
Jaakko Hissa		   2
Ljus		   2
s.n.		   2
Sanoma		   2
J. A. Carlbohm	Carlbohm, Johan Arvid	   2
aff Petro Hansonio	Hansson, Peter	   2
prändätty Frenckellin kirjanprändisä	Frenckell, Johan Christopher II	   2
J. C. Frenckell	Frenckell, Johan Christopher II	   2
V. Nieminen		   2
J. Sandholm		   2
Försäkringsföreningen i Finland	Suomen vakuutusyhdistys	   2
tryckt hos Johan Christoph. Frenckell	Frenckell, Johan Christopher I	   2
Waseniuksen kirjakauppa, jakaja		   2
[J. H. Werner]	Werner, Johan Henric	   2
Hulda Liljeström		   2
[s.a.]		   2
imprimebat Petrus Hansonius Acad. typ.	Hansson, Peter	   2
[s.n]		   2
O.y. Kuopion uusi kirjapaino		   2
F. & G. Beijers förlag		   2
imprimebat Petrus Wald, Acad. typogr.	Wald, Peder Eriksson	   2
WSOY	Unioni, Naisasialiitto Suomessa	   2
Finska Forstsamfundet		   2
Helsingin nuorten miesten kristillinen yhdistys		   2
Hufvudstadsbladet		   2
imprimebat Johannes Winter	Winter, Johan	   2
Toimittajan kustannuksella		   2
Suomen kirkkohistoriallinen seura		   2
Tekiä		   2
Suomen Muinaismuisto-yhdistys		   2
hoos Iohan L. Wall, A. t.	Wall, Johan Larsson	   2
Universitetet		   2
Breitkopf & Härtel		   2
Rauhan Sanomat		   2
typis Frenckellianis		   2
excusa â Johanne Waldio, Acad. typogr.	Wall, Johan Larsson	   2
[Georg Wilhelm Londicer]	Londicer, Georg Wilhelm	   2
prändätty Kuningallisesa suomalaisesa prändisä	Carlbohm, Johan Arvid	   2
[J. Winter]	Winter, Johan	   2
Föreningen för bekämpandet af tuberkulosen		   2
prändätty directeurildä ja cuning:da kirjan präntäjäldä Jacob Merckellildä	Merckell, Jacob	   2
tryckt hos directeuren och kongl. boktr. i stor-förstendömet Finland, Jacob Merckell	Merckell, Jacob	   2
Helsingin yliopisto		   2
V. Weurlander		   2
Fyren		   2
Suomen evank. seura		   2
Norstedt & Söner		   2
Frk. C. Mechelin, distr.		   2
H. C. Merckell	Merckell, Henric Christopher	   2
[Matthias Syngmans änka]	Matthias Syngmans enckia	   2
Mustasaari Landtmannagille		   2
Finska Litteratur-sällskapets tryckeri		   2
Turistföreningen i Finland	Suomen matkailijayhdistys	   2
tryckt hos Johan A. Carlbohm	Carlbohm, Johan Arvid	   2
Wilhelm Friedrich		   2
