original	polished	Count
Quirsfeld, Johann.	male	12
Hamnerin, Nils.	male	12
Nesselius, Israel Johannes	male	12
Du Chaillu, Paul B.	male	11
Alopaeus, Carl Henrik	male	11
Akiander, Matthias	male	11
Ursin, Nicolaus Abrahamus	male	11
Törngren, Johannes Agapetus	male	11
Sjöstedt, Carolus Gustavus	male	11
Lillqvist, Otto.	male	11
Freudenthal, Edla.	female	11
Thesleff, Arthur.	male	11
Sievers, Richard.	male	11
Runeberg, Nino	male	11
Ruin, Waldemar.	male	11
Olsoni, Anna.	female	11
Majander, Salomon.	male	11
Spjut, Einar.	male	11
Törnudd, Aksel	male	11
Crohns, Hjalmar.	male	11
Paavo-Kallio, Esa.	male	11
Lundström, Carl.	male	11
Lindman, Karl F.	male	11
Zilliacus, Victor.	male	11
Wagner, Charles.	male	11
Suttner, Bertha von.	female	11
Stevenson, Robert Louis.	male	11
Gogol, Nikolai.	male	11
Geijerstam, Gustaf af.	male	11
Jalas, Asa.	male	11
Forssell, Adolf.	male	11
Puškin, Aleksandr.	male	11
Churberg, Waldemar.	male	11
Ojala, Herman.	male	11
Besant, Annie.	female	11
Bergholm, Axel	male	11
Linnaniemi, Walter M.	male	11
Kanninen, August.	male	11
Kaste, Anni.	female	11
Anttila, Selma	female	11
Lindgren, Anton Wilhelm	male	11
Afzelius, Andreas Ericus	male	11
Siöberg, Gabriel	male	11
Sarcovius, Daniel Caroli	male	11
Wilcox, Thomas.	male	11
Wallenius, Johannes Jeremiae	male	11
Pippingsköld, Josephus Gustavi	male	11
Kreander, Salomon	male	11
Choraeus, Michael	male	11
Melartin, Erik Gabriel	male	10
Geitlin, Gabriel	male	10
Donner, Arno.	male	10
Engström, Julius	male	10
Dannholm, Fredrik Oskar	male	10
Stenbäck, Lars	male	10
Murén, Emil	male	10
Lithenius, Sofie.	female	10
Lindeqvist, Carl Johan.	male	10
Ljungberg, Eva	female	10
Öhler, Luise.	female	10
Fellman, Jacob	male	10
Hagelstam, Jarl	male	10
Bebel, August.	male	10
Tegengren, Gustav.	male	10
Rännäri, Johan	male	10
Kuhne, Louis.	male	10
Höffding, Harald.	male	10
Hammarström, Nanny	female	10
Steiner, Rudolf.	male	10
Granfelt, George Fredrik.	male	10
Hugo, Victor.	male	10
Roslin-Kalliola, Matilda	female	10
Harmaja, Laura	female	10
Halonen, Alex	male	10
Haapalainen, Eero	male	10
Kettunen, Lauri	female	10
Turkia, Matti	female	10
Hirvonen, Johan Wilhelm.	male	10
Heikel, Felix	male	10
Nordenankar, Johann	male	10
Virginius, Andreas	male	10
Savonius, Michael Johannis.	male	10
Scriver, Christian	male	10
Ihre, Johannes	male	10
Grönwall, Andreas.	male	10
Hesselius, Andreas	male	10
Biurman, Georg	male	10
Wegelius, Johan	male	10
Möller, Johan.	male	10
Mannerskantz, Nils.	male	10
Gröndaal, Petrus	male	10
Dahl, Zacharias Michaelis	male	10
Mether, Andreas Johannes	male	10
Alfthan, Johannes	male	9
