gatherings.original	width.original	height.original	original	gatherings	width	height	obl	area	count
NA	38.2	107.5	38.2 x 107.5 cm. plate 41 x 109.5 cm.	1to	107.5	38.2	0	4106.5	1
NA	26.2	36	36 x 26.2 cm. plate 43 x 34.2 cm.	4long	36	26.2	0	943.2	1
NA	20.3	37.5	20.3 x 37.5 cm. plate 24.5 x 44 cm.	2fo	37.5	20.3	0	761.25	1
NA	17.5	24.5	17.5 x 24.5 cm. plate 22.5 x 32.5 cm.	NA	24.5	17.5	0	428.75	1
NA	38.5	53	38.5 x 53 cm. plate 42 x 55 cm.	2long	53	38.5	0	2040.5	1
NA	NA	NA	18-19 cm.	NA	NA	NA	0	NA	1
NA	24.8	32.3	24.8 x 32.3 cm.	NA	32.3	24.8	0	801.04	1
NA	19	24	24 x 19 cm.	4to	24	19	0	456	1
NA	30	37.5	30 x 37.5 cm. plate 37 x 45 cm.	2fo	37.5	30	0	1125	1
NA	29.8	39.4	39.4 x 29.8 cm. plate 46 x 37 cm.	2fo	39.4	29.8	0	1174.12	1
NA	33.5	38	38 x 33.5 cm. plate 42 x 37 cm.	NA	38	33.5	0	1273	1
NA	32	33.6	32 x 33.6 cm. plate 37 x 35 cm.	NA	33.6	32	0	1075.2	1
NA	54.6	66.3	66.3 x 54.6 cm. plate 73 x 61 cm.	NA	66.3	54.6	0	3619.98	1
NA	54.5	66.2	66.2 x 54.5 cm. plate 72 x 60 cm.	NA	66.2	54.5	0	3607.9	1
NA	68.4	100.8	100.8 x 68.4 cm. plate 108 x 76 cm.	1to	100.8	68.4	0	6894.72	1
NA	68	101	101 x 68 cm. plate 112 x 74 cm.	1to	101	68	0	6868	1
NA	40.4	41.3	40.4 x 41.3 cm. plate 49 x 50 cm.	NA	41.3	40.4	0	1668.52	1
NA	16.6	23.4	16.6 x 23.4 cm. plate 21 x 29 cm.	2small	23.4	16.6	0	388.44	1
