author_name	Count
Bonsdorff, A.	 11
Thesleff, Arthur.	 11
Sievers, Richard.	 11
Runeberg, Nino	 11
Schultén, M. W. af.	 11
Ruin, Waldemar.	 11
Olsoni, Anna.	 11
Meyer, F. B.	 11
Majander, Salomon.	 11
Lagus, Ernst.	 11
Kolster, Rud.	 11
Spjut, Einar.	 11
Schildt, Runar.	 11
Wilskman, Atle.	 11
Törnudd, Aksel	 11
Thillot, Alfr.	 11
Tersteegen, Gerhard.	 11
Castrén, Zachris.	 11
Blomstedt, Yrjö	 11
Berg, Alfr.	 11
Crohns, Hjalmar.	 11
Paavo-Kallio, Esa.	 11
Lundström, Carl.	 11
Lindman, Karl F.	 11
Laurila, K. S.	 11
Killinen, Kust.	 11
Zilliacus, Victor.	 11
Wagner, Charles.	 11
Suttner, Bertha von.	 11
Hedengren, Edv.	 11
Stevenson, Robert Louis.	 11
Stretton, Hesba.	 11
Granö, J. G.	 11
Gogol, Nikolai.	 11
Geijerstam, Gustaf af.	 11
Jalas, Asa.	 11
Forssell, Adolf.	 11
Salminen, Väinö.	 11
Fabritius, L. J.	 11
Puškin, Aleksandr.	 11
Churberg, Waldemar.	 11
Ojala, Herman.	 11
Hallstén, Ilmi.	 11
Jääskeläinen, Kaapro.	 11
Besant, Annie.	 11
Bergholm, Axel	 11
Barratt, T. B.	 11
Mantere, Oskari.	 11
Manninen, Antti	 11
Merikoski, K.	 11
Liipola, Heikki.	 11
Foerster, Fr. W.	 11
Linnaniemi, Walter M.	 11
Korpisaari, Paavo	 11
Kanninen, August.	 11
Kaste, Anni.	 11
Anttila, Selma	 11
Leiviskä, Iivari.	 11
Lindgren, Anton Wilhelm	 11
Sundwall, Johannes Matthias	 10
Ekebom K. G.	 10
Tres.	 10
Fedotov, N.	 10
Snellman, A. H.	 10
Busemann, L.	 10
Alkio.	 10
Ronkainen, H.	 10
Helander, Antti Daniel.	 10
Fresenius, Johan Philipp.	 10
Engström, Julius	 10
Dannholm, Fredrik Oskar	 10
Stenbäck, Lars	 10
Murén, Emil	 10
Schultén, Aug. af.	 10
Lithenius, Sofie.	 10
Lindeqvist, Carl Johan.	 10
Snellman, Paavo.	 10
Stenberg, E. A.	 10
Ljungberg, Eva	 10
Öhler, Luise.	 10
Hersleb, Peder.	 10
Vanamo, Kaarlo.	 10
Fellman, Jacob	 10
Hagelstam, Jarl	 10
Appelqvist, Hj.	 10
Tamminen, Em.	 10
Stenij, Edv.	 10
Bebel, August.	 10
Soikkeli, Kaarle.	 10
Lang, J. N.	 10
Tegengren, Gustav.	 10
Karjalainen, K. F.	 10
Norrlin, Johan Petter.	 10
Sahlberg, John.	 10
Rännäri, Johan	 10
Lindforss, C. M.	 10
Kuhne, Louis.	 10
Karvonen, A.	 10
Kallas, Aino	 10
Evald J.	 10
Hemmo, Kaarlo.	 10
Höffding, Harald.	 10
Tanttu, Kasperi.	 10
Hirvisalo, K. F.	 10
Hammarström, Nanny	 10
Steiner, Rudolf.	 10
Granfelt, George Fredrik.	 10
Sirenius, Sigfrid	 10
Hugo, Victor.	 10
Sarlin, A. J.	 10
Roslin-Kalliola, Matilda	 10
Päiviö, Aku	 10
Pipping, W.	 10
Harmaja, Laura	 10
Nyberg, Huugo.	 10
Bonsdorff, W.	 10
Halonen, Alex	 10
Blicher-Clausen, J.	 10
Haapalainen, Eero	 10
Mikszáth, Kálmán.	 10
Mikkola, J. J.	 10
Forsman, Jaakko.	 10
Kijanen, Pekka.	 10
Kettunen, Lauri	 10
O. K.	 10
Poukka, K. A.	 10
Turkia, Matti	 10
Petrelius, A.	 10
Lax, Hj.	 10
Hirvonen, Johan Wilhelm.	 10
Heikel, Felix	 10
Hannikainen, P. W.	 10
Nordenankar, Johann	 10
Gezelius, Johannes	 10
Sjöström, Axel Gabriel	  9
Alfthan, Johannes	  9
Geitlin, Gabriel	  9
Mainov, Wladimir.	  9
Uhrström, Vilhelm.	  9
Segerstedt, Albrekt Julius.	  9
Gestrin, Emil Teodor	  9
Warelius, Antero.	  9
Hammar, Kaarlo Aukusti.	  9
Grotenfelt, Nils Gustaf Maximilian	  9
Calamnius, Ilmari.	  9
Inberg, Isak Johan.	  9
Wretlind, E. W.	  9
Ottelin, F. A.	  9
Lönnbeck, Waldemar.	  9
Johansson, Erik	  9
Nemo.	  9
Cleve, Zacharias Joachim.	  9
Helander, B. H.	  9
Unonius, K. J. W.	  9
Paasikivi, J. K.	  9
Stenroos, K. E.	  9
Ongelin, Hanna	  9
Järvi, K. A.	  9
Lindström, Kössi.	  9
Lilja, Anni	  9
