publisher	Count
Frenckelliläinen kirjapaino :;Granlund	   8
Eurén :;Hagelberg	   8
Omalla kustannuksella	   8
Weurlander	   8
[Suomalaisen Kirjallisuuden Seuran kirjapaino]	   8
Hildén	   8
OP	   8
tryckt hos F. J. Leverentz	   8
Pettersson	   8
Alopaeus	   8
Joensuun kirjapaino-osakeyhtiö	   8
P. H. Beijer	   8
Sortavalan Evank. seura	   8
Sortavalan Evankelinen seura	   8
Wäinämöisen toimitus	   8
E. E. Sundvall	   8
Kajaanin kirjapaino	   8
NAZ	   8
Befälhafvarestyrelsen	   8
Edlundska bokhandeln, jakaja	   8
Satakunnan maanviljelysseura	   8
[Föreningen för främjande af allmännyttig byggnadsverksamhet]	   8
Evangeliska Fosterlandsstiftelsen	   8
Duodecim seura	   8
F. W. Unggrens boktryckeri	   8
[Finska kyrkohistoriska samfundet] :;J. Gummerus, jakaja	   8
A. Twietmeyer	   8
G. Smidt	   8
Finska Litteratursällskapet	   8
Waseniuska Bokhandeln, distr.	   8
Diakonissanstalten	   8
Nutids redaktion	   8
Suom. sos. kust. yht.	   8
M. V. Wuolukka	   8
Söderström, jakaja	   8
Helsingin uusi kp.	   8
Yrjö Weilin & Kumpp. o.y.	   8
[Teollisuushallitus]	   8
Finska Kyrkans Inremissionssällskap	   8
Norstedt & söner	   8
Norstedt & Söner	   8
Akad. bokh.	   8
Geologiska kommissionen i Finland	   8
Brandkårsförbundet i Finland	   8
Joh. K. Lindstedt	   8
Rauhan sanomain kustannustoimi	   8
Säde	   8
Valtion historiallinen museo	   8
Elanto	   8
[Perustuslakikomitea]	   8
Pohjois-Karjalan maanviljelysseura	   8
Tekijät	   8
J. F. Olánin kirjakauppa	   8
Raivaaja	   8
Suomen yleinen palokuntaliitto	   8
U.W. Telén	   8
Sortavalan kirjapaino	   8
Keskinäinen vakuutuslaitos Sampo	   8
Kustannusliike Kullervo	   8
Suomen vakuutusyhdistys	   8
Försäkringsföreningen i Finland	   8
Kristillinen liikemiestoiminta	   8
Helsingin kustannusosakeyhtiö	   8
[P. Momma]	   8
[tryckt af Georg Wilhelm Londicer]	   8
excud. Joh. Kiaempe, Reg. Acad. typogr.	   8
[K. G. Ekebom]	   7
Vaasan Elänsuojelusyhdistys	   7
Turun Eläinsuojelusyhdistys	   7
Matkailutoimisto Finlandia	   7
Gidrografičeskij Departament' Morskago Ministerstva	   7
Pečatano v' Gl. Gidrograf. Upravlenìi Morskogo Ministerstva	   7
Black	   7
[tryckt uti kongl. fält-tryckeriet]	   7
Imperatorskaâ Akademìâ nauk'	   7
Hjelt :;Wilén	   7
Cedervaller :;Tekijä	   7
Widerholm	   7
Churberg	   7
Martin	   7
P. Th. Stolpe	   7
Alopæus	   7
Eriksson	   7
Konstnärsgillet	   7
Öhrnberg	   7
Grönroos	   7
[G. W. Londicerin leski]	   7
Julin	   7
Finsk ugriska sällskapet	   7
tryckt hos Johan Chr. Frenckell	   7
Skandinavilainen kustannustoimisto	   7
Luth. Evank.-yhdistys	   7
Malmström	   7
Porilaisen kirjapaino	   7
Suomen Lutherilainen evankeliumi-yhdistys	   7
W. Benzow	   7
Jaakko Hissa	   7
Keski-Suomen kirjapaino	   7
Ekenäs missionsbokhandel	   7
Henkivakuutus-yhtiö Suomi	   7
[Hufvudstadsbladet]	   7
Pohjalaisen kirjapaino	   7
Turun kansakoulujohtokunta	   7
J. F. Olàn'in kirjakauppa	   7
H. T. Bärlund	   7
Luth. evang.-fören.	   7
W. Hagelstam i distr	   7
Otava, distr.	   7
Hbl. uusi kp.	   7
Beijers bokförlagsaktiebolag	   7
Akademiska bokhandeln, distr.	   7
Internat. Traktat- o. missionsföreningen	   7
Luukkonen ja kumpp.	   7
[Föreningen för bekämpandet af tuberkulosen]	   7
Otto Lindeman	   7
Statistiska centralbyrån i Finland	   7
Schuster & Loeffler	   7
Beijers Bokförlagsaktiebolag	   7
Kustannusliike Osmo	   7
Clouberg ja Kumpp.	   7
Kustannusyhtiö Osmo	   7
Vilho Leikas & C:o	   7
Karjalan kp.-o.y.	   7
Helsingin kaupunginvaltuuston työväenasiain lautakunta	   7
O.y. Kuopion uusi kirjapaino	   7
Helsingin kustannus-o.y.	   7
Suomen valtionrautatiet	   7
A. Apostol	   7
Nylands och Tavastehus läns Landtbrukssällskap	   7
[Hembygdsforskningens vänner i Lojo]	   7
Finlands senat	   7
Kirkollinen kirja- ja paperikauppa	   7
Seurasaaren ulkomuseo	   7
Suomen työväensuojelus- ja sosialivakuutusyhdistys	   7
Raittiuden Ystävät	   7
Siirtolaisen kp.	   7
Nuorten naisten kristillinen yhdistys	   7
Isak Julinin kustannusliike	   7
Teosofinen Kirjakauppa	   7
Evank. kustannusliike	   7
Urheilijain kustannus	   7
Suomalaisten puolueiden vaaliliitto	   7
U. W. Telen	   7
Kansantaloudellinen yhdistys	   7
Pohjolan kustannus	   7
Kustannusoy Kirja	   7
Uus-uskonnollinen kustannusliike	   7
Sana	   7
Englannin ja ulkomaan pipliaseura	   7
Söderström & C:o i distr	   7
Lahden kaupunki	   7
Assar Palander	   7
J. H. Tuhkanen	   7
Teosofinen kirjakauppa ja kustannusliike	   7
Karjalan kp.	   7
Kansan tahto	   7
Ioh. Bapt. Homanni	   7
[s. n.]	   7
[Peder Wald]	   7
tryckt uti kongl. tryckeriet	   7
tryckt hos Johan Christ. Holmberg	   7
tryckt hos directeuren och kongl. boktryckaren i stor-förstend. Finland, Jacob Merckell	   7
tryckt hos Johan Georg Lange	   7
impressit Johannes Christophorus Frenckell, Reg. Acad. typograph.	   7
excud. Reg. Acad. typogr. Joh. Kiämpe	   7
[G. Klint]	   6
Eläintenystävät	   6
Helsingfors Velocipedklubb	   6
[Société de Géographie de Finlande]	   6
Kalenteri	   6
J. Länkeläs förlag	   6
Glavnoe Gidrografičeskoe Upravlenie	   6
Abr. Bohlin	   6
Gleerup	   6
Brockhaus	   6
Tipografìâ Imperatorskago senata	   6
Tipografìâ A. S. Suvorina	   6
Alfthan :;Zilliacus	   6
Zilliacus :;Clouberg	   6
Barck :;Wilén	   6
Hufvudstadsblad'in kirjap. :;Edlund	   6
Eurén	   6
Hjelt	   6
Suomen Muinaismuisto-yhtiö	   6
[Harald]	   6
Granlund	   6
[Hagelberg]	   6
Joensuun kirjapaino-yhtiö	   6
Lutherilainen Evankeliumiyhdistys	   6
Simeliuksen perilliset	   6
A. Manninen ja Fr. Ahlqvist	   6
Lång & Ståhlberg	   6
Harald	   6
Helin	   6
[Edlund]	   6
Nordensvan	   6
Turun kirjapaino-osakeyhtiö	   6
gedruckt bei M. C. Iversen	   6
Pyhien Sergein ja Hermanin veljeyskunta	   6
Hämeen Sanomain kp.	   6
Andelin	   6
J. F. Olan	   6
Aleks. Filander	   6
Anton Lindeberg	   6
Jansson	   6
Bergström	   6
C. W. Alopaeus	   6
Säätyjen kirjasto	   6
Tammerfors Nyheter'in kp.	   6
[Geografiska föreningen]	   6
Söderström ja K.	   6
P. G. Philipsen	   6
V. Petterson	   6
Sammon kirjapaino	   6
