original		Count
[2] s., s. 23-30	10	   3
[2] s., s. 169-184	18	   3
[2] s., s. 13-20	10	   3
39 s.	39	   3
112 s.	112	   3
[1-3] 4-20 s. (s. [2] tyhjä)	20	   3
[2], [1] 2-18  s.	20	   3
[1-3] 4-14 s. (s. [2] tyhjä)	14	   3
[16-?] s.	16	   3
[58] s.	58	   3
[4] s., s. 289-304, [4] s.	24	   3
[2] s., s. 177-184, [2] s.	12	   3
[4], 40, [4] s.	48	   3
S. [33-64]	32	   3
[112] s.	112	   3
16[-?] s.	16	   3
[32?] s.	32	   3
[2] s., s. 353-384	34	   3
S. [?], [321-352], [?]	32	   3
[14], 28 s.	42	   3
[14], 50, [2] s.	66	   3
[62] s.	62	   3
S. [?], [225-256], [?]	32	   3
S. [?], [65-96], [?]	32	   3
S. [?], [33-64], [?]	32	   3
[4] s., s. 292-314, [4] s.	31	   3
96 s.	96	   3
[8], 27, [3] s.	38	   3
[8], 34, [6] s.	48	   3
[8]	8	   3
[30] s. (s. [30] tyhjä)	30	   3
[100] s.	100	   3
[40] s. (s. [2] tyhjä)	40	   3
[4] s. (s. [2] ja [4] tyhjät)	10	   3
[4], 84 s.	88	   3
[66] s.	66	   3
[1] lehti.	2	   3
[26], 540, [12], 468 s.	578	   3
[22] s. (s. [22] tyhjä)	22	   3
80 s.	80	   3
[1-3] 4-19 [20] s.	20	   3
[4], [1] 2-22 [23-24] s.	29	   3
[8], [1] 2-27 [28] s.	63	   3
[1-2] 3-40 s.	40	   3
[8], [1] 2-43 [44] s.	95	   3
[4]	4	   3
[8], [1] 2-56 s.	64	   3
[4], [1] 2-148 s.	152	   3
[1-3] 4-110 [111-112] s.	112	   3
[1-3] 4-54 [55-56] s. (s. [55-56] tyhjät)	56	   3
[2], [1] 2-56 s.	58	   3
[8], [1] 2-992 s.	1000	   3
[1-3] 4-38 s.	38	   3
56 s.	56	   3
[1-3] 4-68 s.	68	   3
[2], [1] 2-116 [117-118] s.	121	   3
[43], [1] 2-103 [104-113] s.	157	   3
[76] s.	76	   3
[68] s. (s. [68] tyhjä)	68	   3
[43], [1] 2-103 [104-113] s. (s. [113] tyhjä)	270	   3
[1-8] 9-95 [96] s. (s. [96] tyhjä)	96	   3
[1-6] 7-24 s.	24	   3
[2], [1] 2-42 s.	44	   3
[20], [1] 2-412 s.	432	   3
[6], [1] 2-207 [208-210] s.	217	   3
84 s.	84	   3
[1-3] 4-444 [445-464] s.	464	   3
[1-3] 4-47 [48] s. (s. [48] tyhjä)	48	   3
[2], [1] 2-420 s.	422	   3
[2] s., s. 25-36	14	   3
[2] s., s. 97-112	18	   3
[4], 48, [2] s.	54	   3
[2], [1] 2-6 s.	8	   3
[8], [1] 2-44 [45-48] s.	57	   3
[6], 49, [1] s.	56	   3
[4], [1] 2-10 s.	14	   3
[2], [1] 2-9 [10] s.	21	   3
[2] s., s. 89-104	18	   3
[2] s., s. 65-72	10	   3
[4] s., s. 17-32	20	   3
23, [1] s.	24	   3
[8], [1] 2-38 [39-40] s.	49	   3
[8], [1] 2-22 [23-24] s.	33	   3
[8], [1] 2-36 s.	44	   3
[4], [1] 2-14 s.	18	   3
[4], [1] 2-13 [14] s.	31	   3
[4], [1] 2-38 s.	42	   3
[8], [1] 2-18 s.	26	   3
[8], [1] 2-28 s.	36	   3
[8], 38, [2] s.	48	   3
[8], 63, [1] s.	72	   3
[2], [1] 2-28 s.	30	   3
[2], [1] 2-11 [12] s. (s. [12] tyhjä)	37	   3
[8], 44 s.	52	   3
[6], [1] 2-12 s.	18	   3
[2], 6 s.	8	   3
[8], 26, [2] s.	36	   3
[6], [1] 2-18 s.	24	   3
[8], [1] 2-16 s.	24	   3
[8], 56 s.	64	   3
[4], [1] 2-18 [19-20] s.	25	   3
[6], [1] 2-32 s.	38	   3
[2], [1] 2-13 [14] s. (s. [14] tyhjä)	43	   3
[2], 40 s.	42	   3
[4], 24, [2] s.	30	   3
[2], 25, [1] s.	28	   3
[4], 34 s.	38	   3
[4], 31, [1] s.	36	   3
[2], 54 s.	56	   3
[4], 32, [4] s.	40	   3
[4], 29, [3] s.	36	   3
[4], 9, [1] s.	14	   3
[6], 14, [2] s.	22	   3
[8], 19, [1] s.	28	   3
[4], 35, [1] s.	40	   3
[2], 48 s.	50	   3
[2], 27, [3] s.	32	   3
[6], 48 s.	54	   3
[4], 6 s.	10	   3
27, [1] s.	28	   3
[8], 16 s.	24	   3
[2] s., s. [17]-32	18	   3
S. [17]-32	16	   3
[2] s., s. 21-38	20	   3
[8], 34 s.	42	   3
[6], 39, [1] s.	46	   3
[8], 60 s.	68	   3
[8], 40 s.	48	   3
[10], 29, [1] s.	40	   3
140 s.	140	   3
[6], 50 s.	56	   3
[4], 48, [4] s.	56	   3
[8], 39, [5] s.	52	   3
[8], 18, [2] s.	28	   3
[4], 23, [3] s.	30	   3
162 s.	162	   2
24 p., 24 leaves of plates	72	   2
110 s.	110	   2
442, [2] s.	444	   2
27 s.	27	   2
21 s.	21	   2
122 s.	122	   2
160 s.	160	   2
392 s.	392	   2
1 nid.	10	   2
[2] s., s. 9-16, 3-4	18	   2
[2], [1] 2-16  s.	18	   2
218 s.	218	   2
181 s.	181	   2
157 s.	157	   2
[1-3] 4-43 [44] s. (s. [44] tyhjä)	44	   2
[4], 47, [1] s.	52	   2
[1-3] 4-93 [94-96] s.	96	   2
[2] s., s. 15-30	18	   2
[2] s., s. 41-56	18	   2
[2] s., s. [29]-44	18	   2
[2] s., s. 129-144	18	   2
[2], [1] 2-39 [40] s.	81	   2
[2] s., s. 17-30	16	   2
[2], [1] 2-58 s.	60	   2
[2] s., s. 11-20	12	   2
S. [2], 17-24	10	   2
S. [2], 25-32	10	   2
S. [2], 9-16	10	   2
S. [2], 11-18	10	   2
S. [2], 33-44	14	   2
[2] s., s. 57-64	10	   2
[2] s., s. 59-76	20	   2
[2] s., s. 17-28	14	   2
[2] s., s. 35-48	16	   2
[2] s., s. 33-42	12	   2
[2] s., s. 31-40	12	   2
[2] s., s. 21-30	12	   2
[2] s., s. 15-26	14	   2
[2] s., s. 9-14	8	   2
[2] s., s. 29-37, [1] s.	12	   2
[2] s., s. 31-42	14	   2
[2] s., s. 45-60	18	   2
[2] s., s. 33-44	14	   2
[2] s., s. 185-200	18	   2
[2] s., s. 153-168	18	   2
[2] s., s. 137-152	18	   2
[2] s., s. 121-136	18	   2
[2] s., s. 11-22	14	   2
[2] s., s. 9-24	18	   2
1 kartta kahdella lehdellä	2	   2
128 s.	128	   2
64 s.	64	   2
[10], 31, [1] s.	42	   2
[4], 37, [3] s.	44	   2
[10], 18 s.	28	   2
[6], 50 p.	56	   2
4 karttaa yhdellä lehdellä	8	   2
1 kartta kahdessa osassa	2	   2
[1] 2-7 [8] s.	15	   2
[1-3] 4-80 s.	80	   2
[2], 44 s.	46	   2
[1-3] 4-24 s. (s. [2] tyhjä)	24	   2
[4] lehteä	8	   2
[2] s., s. 85-100	18	   2
[2], [1] 2-14 s. (s. [2] tyhjä)	18	   2
[2], [1] 2-10 [11-12] s.	15	   2
[1-3] 4-16 s. (s. [2] tyhjä)	16	   2
[1-3] 4-12 s. (s. [2] tyhjä)	12	   2
[2], 50 s.	52	   2
[4], [1] 2-46 [47-48]  s.	53	   2
[6], [1] 2-16  s.	22	   2
[8], [1] 2-20  s.	28	   2
[6], [1] 2-15 [16]  s.	37	   2
[4], [1] 2-12  s.	16	   2
[2], [1] 2-12  s.	14	   2
[4], [1] 2-18  s.	22	   2
[4], 46 s.	50	   2
[10], 40, [4] s.	54	   2
276 s.	276	   2
152 s.	152	   2
[12], 31, [1] s.	44	   2
[8], 40 [po. 50], [6] s.	64	   2
[8], [1] 2-152 [153-156] s.	165	   2
[6], 66 s.	72	   2
[6], 40, [2] s.	48	   2
[12-?] s.	12	   2
[36] s. (s. [2] tyhjä)	36	   2
