original		Count
168 lehteä	336	   1
[1-2] 3-47 [48] s. (s. [48] tyhjä)	48	   1
[24], [1] 2-616 s.	640	   1
[16], [1] 2-798 [799-838] s. (useita sivunumerointivirheitä; s. [838] tyhjä)	1693	   1
[8], [1] 2-170 [171-176] s.	185	   1
32[-?] s.	32	   1
20[-?] s.	20	   1
1-28 s.	28	   1
1-32 s.	32	   1
[2], 1-46 s.	48	   1
[8], 990 [po. 974], [4] s.	986	   1
[32], 1229, [3] s.	1264	   1
[16], 1-238,[4], 239-527 527 [po. 528] 528-688 [po. 529-689] [690-692] s.	712	   1
[16], [1] 2-346 [347-352] s.	369	   1
[8], [1] 2-334 [335-336] s.	345	   1
[8], 1-199 [200] s.	208	   1
140 lehteä	280	   1
[4], [1] 2-735 [736-752] s. (s. [2], [752] tyhjät)	1511	   1
[3], [1] 2-312 398 [po. 313] 314-385 l.	388	   1
[16], [1] 2-197 108 [po. 198] 199-200 s.	216	   1
[100], 1135, [29], 308 s.	1264	   1
[24], 1-345, [1], 346-716 [717] l. (useita lehtinumerointivirheitä)	742	   1
[5], 1-35 lehteä	5	   1
[1], [1] 2-135 [136] l.	322	   1
[9], 1 3-12 [po. 2-11] 12-91 112-130 [po. 92-111] lehteä	9	   1
[10], CCCL, [1] lehteä	362	   1
36[-?] lehteä	10	   1
2[-?] lehteä	10	   1
50 lehteä	100	   1
[2], 1-80 s. (s. [2] tyhjä)	82	   1
[32], 559, [1] s.	592	   1
[16], 200 s.	216	   1
[12], [1] 2-36 s.	48	   1
[1-5] 6-10 15 [po. 11] 12-27 [28-32] s.	32	   1
[4], 1-37 [38-40] s.	44	   1
[8], [1-2] 3-40 s.	48	   1
[2], [1-3] 4-9 [10] s. (s. [8] ja [10] tyhjät)	12	   1
[4], 30, [4] s.	38	   1
[6], 35, [3] s.	44	   1
[8], [1] 2-14 [15-16] s.	25	   1
[4], 93, [1] s.	98	   1
[6], 41, [3] s.	50	   1
[4] s., s. 97-128, [4] s.	40	   1
S. [2], 65-96, [2]	36	   1
S. [674-705]	32	   1
S. [642-673]	32	   1
S. [610-641]	32	   1
S. [578-609]	32	   1
S. [546-577]	32	   1
S. [481-513]	33	   1
S. [417-448]	32	   1
S. [385-416]	32	   1
S. [353-384]	32	   1
S. [321-352]	32	   1
S. [225-256]	32	   1
S. [193-224]	32	   1
S. [161-192]	32	   1
S. [129-160]	32	   1
S. [97-128]	32	   1
[8], [1] 2-43 [44-48] (s. [48] tyhjä)	105	   1
[8], [1] 2-71 [72]	151	   1
[1] 2-26 s. (s. [2] tyhjä)	28	   1
[8], [1] 2-69 [70-72] s.	81	   1
[4], 30 [po. 31], [1] s.	36	   1
[4], 33, [3] s.	40	   1
[12], 108, [4] s.	124	   1
[12], 44, [6] s., [1] kuvalehti	64	   1
[14], 37, [3] s.	54	   1
[4], 40, [8] s.	52	   1
[6], 32, [6] s.	44	   1
[12], 35, [1] s.	48	   1
[10], [1-2] 3-32 [33-34] s.	44	   1
[12], [1] 2-25 [26-28] s.	41	   1
[2] [1] 2-37 [38] s.	77	   1
[4], [1] 2-60 [61-64] s.	69	   1
[10], 72, [2] s.	84	   1
[12], [1] 2-50 [51-52] s.	65	   1
[8], 32, [8] s.	48	   1
[6], 68 [po. 58], [4] s.	68	   1
[4], [1] 2-35 [36] s.	75	   1
[8], 53, [7] s.	68	   1
[4], 1-51 [52] s.	56	   1
2[-?] lehteä	48	   1
[1-2] 3-160	160	   1
36 lehteä	72	   1
[4], [1-32?] 33-231 [232] s. (s. [232] tyhjä)	236	   1
80 lehteä	160	   1
[348] s.	348	   1
14 lehteä	28	   1
20 lehteä	40	   1
53 [54?] lehteä	10	   1
[16], [1] 2-189 160 [po. 190] [191-192] s. (s. [192] tyhjä)	401	   1
22 lehteä	44	   1
16, 16, 10, 12 [16?], 4 [8?] lehteä	16	   1
18 lehteä	36	   1
[16], 370 [po. 340], [4] s., [1] karttalehti taitettuna	362	   1
48 lehteä	96	   1
[4], 1-147 [148] s.	152	   1
[14], 424 s., kuparipiirrosnimiö, [1] karttalehti taitettuna	440	   1
[14], 408 s., kuparipiirrosnimiö, [21] kuvalehteä, [1] karttalehti taitettuna	466	   1
[6], 99, [1], 132 [po. 146], 73, [7] s., kuparipiirrosnimiö, [15] kuvalehteä, [1] karttalehti taitettuna	291	   1
[14], 378, [2] s., [1] kuvalehti, [1] karttalehti	398	   1
[552] s.	552	   1
32 lehteä	64	   1
[66] lehteä	132	   1
[18], [1] 2-208 [209-210] s. (s. [210] tyhjä)	439	   1
[18], [1] 2-222 s.	240	   1
[1], 1-49 42 [po. 50] 50-134 [po. 51-135] s.	136	   1
24 lehteä	48	   1
[1], 1-53 lehteä	1	   1
[2], 1-151 [152] s. (useita sivunumerointivirheitä, s. [2] tyhjä)	156	   1
40 lehteä	80	   1
90 lehteä	180	   1
169 lehteä	338	   1
171[-?] lehteä	50	   1
[16], 1-420 [421-424] s.	440	   1
[16], [1-3] 4-257 [258-352] s.	368	   1
[?-]9-16[-?] s.	16	   1
[24], 705 [po. 704], [4] s.	732	   1
[16], 541 [po. 361], [7] s., lehdet 2-14, [1] lehti	386	   1
[8], 160 [po. 168] s.	176	   1
[124] s. (s. [2] tyhjä)	124	   1
[1-3] 4-108 [109-144] s. (s. [2] ja [112] tyhjät)	144	   1
[1-3] 4-121 [122-168] s. (s. [124] ja [126] tyhjät)	168	   1
[2], [1] 2-79 [80-106] s. (s. [2] tyhjä)	111	   1
[1-2] 3-95 94-102 [po.96-104] s.	9	   1
[204] s.	204	   1
[2], [1] 2-77 [78-80] s.	83	   1
[2], [1] 2-110 s.	112	   1
[8], 136 s.	144	   1
[16], [1] 2-236 [237-240] s.	257	   1
[3], 1-100 10 [po. 101] 102-194 165 [po. 195] 196-271, [1] 2-72 s.	275	   1
[1] 2-44[-?] s.	45	   1
[1-3] 4-49 [50] s. (s. [50] tyhjä)	50	   1
[2], 1-89 100-261 [po. 90-251 [252-254] s. (s. [2] tyhjä)	256	   1
[8], 1-277 [278], [1] 2-304 s. (s. [2] tyhjä)	593	   1
[4], 1-432 [433-436] s. (s. [436] tyhjä)	440	   1
[1-2] 3-64 s.	64	   1
64, 12 s., [1] taitelehti	64	   1
[2] 1-62, [1] 2-12 s.	65	   1
[2], 1-62, 1-12 s.	64	   1
[1-3] 4-220 [221-288] s.	288	   1
[8], [1-3] 4-239 [240] s.	248	   1
[144] s. (s. [144] tyhjä)	144	   1
[1-3] 4-630 [631-756] s.	756	   1
[1-3] 4-630 [631-756] s. (s. [2] tyhjä)	756	   1
[?-] 47-315 [-?] s.	315	   1
[1] 2-311 [312] s. (s. [312] tyhjä)	935	   1
[60] s. (s. [2] ja [60] tyhjät)	68	   1
[1-2] 3-24 s. (s. [2] tyhjä)	24	   1
[1-2] 3-132 s. (s. [2] tyhjä)	132	   1
[1-2] 3-216 s.	216	   1
[1-3] 4-165 167 [po. 166] 168-199[-?] [po. 167-198-?] s.	199	   1
[4] 1-64 [65-72] s.	76	   1
[8], [1] 2-57 [58-64] s. (useita sivunumerointivirheitä)	73	   1
[16], 17, [7] s.	40	   1
[8], 70, [10] s.	88	   1
[2], 1-36 s.	38	   1
[4], 160, [4] s.	168	   1
[6] s., s. 129-144	22	   1
[4] s., s. 113-128, [2] s.	22	   1
[4] s., s. 97-112	20	   1
[4] s., s. 65-80	20	   1
[2] s., s. 49-64, [2]	20	   1
[4] s., s. 33-48	20	   1
[4], 1-16 s.	20	   1
S. [8], 33-48	24	   1
[2] s., s. 53-68, [2]	20	   1
S. [?-52]	-52	   1
S. [17-?]	17	   1
[8], 71, [1] s.	80	   1
S. [?], 490-521, [?]	32	   1
[2] s., s. 458-489, [2] s.	36	   1
[2] s., s. 426-457, [2] s.	36	   1
S. [?], 393-425, [?]	33	   1
[4] s., s. 361-392	36	   1
S. [?], 329-360, [?]	32	   1
S. [?], 297-328, [?]	32	   1
[2] s., s. 265-296, [2] s.	36	   1
S. [?], 233-264, [?]	32	   1
S. [?], 201-232, [?]	32	   1
S. [?], 169-200, [?]	32	   1
[?], 137-168, [?]	32	   1
S. [?], 105-136, [?]	32	   1
S. [?], 57-104 [?]	48	   1
S. [?], 25-56, [?]	32	   1
S. [?], 1-24, [?]	24	   1
S. [?], [225], [?]	225	   1
[4] s., s. 193-224	36	   1
S. [?], [145-192], [?]	48	   1
[4] s., s. 97-144	52	   1
S. [?], [49-96], [?]	48	   1
[2], 48, [2] s.	52	   1
[12?] s.	12	   1
[114] s.	114	   1
[208] s.	208	   1
[10], [1] 2-96 s. (s. [2] tyhjä)	108	   1
[34] s. (s. [2] ja [34] tyhjät)	10	   1
[8], 1-30 s.	38	   1
[26], 1-598 [599-606] s.	632	   1
[?-] 8[-?] s.	-8	   1
528 s. (s. 2 tyhjä)	50	   1
[1-3] 4-145 [146-148] s.	148	   1
[1-3] 4-62 [63-64] s.	64	   1
[16], [1] 2-240 s.	256	   1
[102] s.	102	   1
[176] s. (s. [2] ja [176] tyhjät)	50	   1
[76] s. (s. [2] tyhjä)	76	   1
76[-?] s.	76	   1
[72] s. (s. [2] ja [72] tyhjät)	68	   1
[22], 505, [1] s.	528	   1
[1-2] 3-92 [93-96] s.	96	   1
[1-2] 3-184 s.	184	   1
[2], 1-46[-?] s.	48	   1
[4], [1] 2-317 [318-320] s.	325	   1
[8], [1] 2-317 [318-320] s.	329	   1
[34] s. (s. [34] tyhjä)	34	   1
[8], 317, [3] s.	328	   1
[1-32] s.	32	   1
[84?] s.	84	   1
[164] s.	164	   1
[24?] s.	24	   1
[2] s., s. 9-16, [2] s.	12	   1
[?], 1-8, [?] s.	8	   1
[2] s., s. 385-416, [2] s.	36	   1
[?] s., s. [257-288], [?] s.	32	   1
[2] s., s. 161-192, [2] s.	36	   1
[2] s., s. 129-160, [2] s.	36	   1
S. [?], [529-559], [?]	31	   1
S. [?], [497-528], [?]	32	   1
S. [?], [481-496], [?]	16	   1
S. [?], [465-480], [?]	16	   1
[?] s., s. [449-464], [?] s.	16	   1
[?] s., s. [417-448], [?] s.	32	   1
[2] s., s. 401-416, [2] s.	20	   1
S. [?], [385-400], [?]	16	   1
S. [?], [353-384], [?]	32	   1
S. [2], 257-288, [2]	36	   1
S. [?], [209-224], [?]	16	   1
S. [2], 177-208, [2]	36	   1
S. [?], [161-176], [?]	16	   1
S. [?], [81-128], [?]	48	   1
S. [?], [33-80], [?]	48	   1
S. [?], [145-178], [?]	34	   1
S. [?], [97-144], [?]	48	   1
S. [2], 49-96, [2]	52	   1
[?], [1-48], [?] s.	48	   1
[4], 1-92 [93-108] s.	112	   1
S. [4], 145-160	20	   1
S. [4], 113-128	20	   1
S. [?], [129-144], [?]	16	   1
S. [2], 97-112	18	   1
S. [2], 81-96	18	   1
S. [4], 65-80	20	   1
S. [4], 49-64	20	   1
S. [4], 33-48	20	   1
[?], [17-31], [?] s.	15	   1
[4], 30, [2] s.	36	   1
[4], 90, [6] s.	100	   1
[12], 55, [3] s.	70	   1
[4], 16 [po. 17], [5] s.	26	   1
[8], 52 s.	60	   1
[6], 32, [4] s.	42	   1
[10], 40 s.	50	   1
[16], 46 [po. 42], [6] s.	64	   1
[10], 39, [3] s.	52	   1
[12], [1] 2-26 37 [po. 27] [28] s.	67	   1
[8], 34, [2] s.	44	   1
[2],18 s.	20	   1
[16], 64 s.	80	   1
[4], 1-47 [48] s.	52	   1
[4], 14, [4] s.	22	   1
[4], [1-3] 4-40 [41-44] s.	48	   1
[8], 17, [3] s.	28	   1
[8], [1] 2-43 [44-48] s.	57	   1
[4], 22, [6] s.	32	   1
[10], [1] 2-28 [29-32] s.	43	   1
[1-4] 5-24 s.	24	   1
28, [4] s.	32	   1
[6], [1] 2-29 [30-34] s.	41	   1
[18], 64, [2] s.	84	   1
[16], 116, [4] s.	136	   1
[4], [1] 2-17 [18-20] s.	25	   1
[2], [1] 2-38 s.	40	   1
[8], [1] 2-32 [33-36] s.	45	   1
[14], [1] 2-16 9-22 [po. 17-30] [31-36] s.	50	   1
[8], [1] 2-26 [27-32] s.	41	   1
[10], [1] 2-34 [35-38] s.	49	   1
[16], [1] 2-77 [78-80] s.	97	   1
[8], 80, [4] s.	92	   1
[8], [1] 2-16 [17-24] s.	33	   1
[4], 1-15 [16-20] s.	24	   1
[8], 43, [5] s.	56	   1
[2] s., s. 151-196	48	   1
[12] s., s. 69-150	94	   1
[4], 68 s.	72	   1
[8], 106, [6] s.	120	   1
[8], 13, [3] s.	24	   1
[10], 14, [2] s.	26	   1
S. [?], [943-?]	943	   1
S. [?], [911-942], [?]	32	   1
[2] s., s. 879-910, [2] s.	36	   1
[2] s., s. 847-878, [2] s.	36	   1
[2] s., s. 815-846, [2] s.	36	   1
[2] s., s. 783-814, [2] s.	36	   1
[8] s., s. 703-750	56	   1
S. [?], [671-702	32	   1
S. [?], [639-670], [?]	32	   1
[8] s., s. 607-638	40	   1
S. [?], [576-606], [?]	31	   1
[2] s., s. 544-575, [2] s.	36	   1
S. [?], [512-543], [?]	32	   1
S. [?], [480-511], [?]	32	   1
S. [?], [448-479], [?]	32	   1
S. [?], [416-447], [?]	32	   1
[4] s., s. 384-415, [4] s.	40	   1
[?] s., s. [352-383], [?] s.	32	   1
S. [?], [320-351], [?]	32	   1
S. [?], [288-319], [?]	32	   1
S. [?], [256-287], [?]	32	   1
[2] s., s. 224-255, [2] s.	36	   1
S. [?], [160-191], [?]	32	   1
[2] s., s. 129-159 [po. 129-160], [2] s.	36	   1
[2], 32, [2] s.	36	   1
S. [?], [129-152], [?]	24	   1
[?] s., s. [97-128], [?] s.	32	   1
[4] s., s. 65-96	36	   1
[?], [33-64], [?] s.	32	   1
S. [?], [257-288], [?]	32	   1
S. [2], 161-192, [2]	36	   1
[2] s., s. 97-128, [2] s.	36	   1
[16], 90, [2] s.	108	   1
S. [4], 185-200	20	   1
[2] s., s. 169-184, [4] s.	22	   1
[4] s., s. 153-168	20	   1
[2] s., s. 137-152, [2] s.	20	   1
S. [?], [73-88], [?]	16	   1
[4] s., s. 57-72, [4] s.	24	   1
S. [?], [43-56], [?]	14	   1
[6] s., s. 25-42	24	   1
[4] s., s. 461-484, [4] s.	32	   1
S. [?], [437-460], [?]	24	   1
S. [?], [413-436], [?]	24	   1
[4] s., s. 387-412, [2] s.	32	   1
[4] s., s. 371-386, [2] s., [8] kuvalehteä	38	   1
[?] s., s. [347-370], [?] s.	24	   1
[2] s., s. 331-346, [2] s.	20	   1
S. [?], [244-268], [?]	25	   1
[2] s., s. 220-243, [4] s.	30	   1
S. [?], [197-219], [?]	23	   1
S. [?], [173-196], [?]	24	   1
[2] s., s. 149-172, [2] s.	28	   1
[2] s., s. 125-148, [2] s.	28	   1
[2] s., s. 101-124, [2] s.	28	   1
S. [?], [53-76], [?]	24	   1
[2] s., s. 25-52	30	   1
S. [?], [411-424], [?]	14	   1
S. [?], [387-410], [?]	24	   1
S. [?], [355-386], [?]	32	   1
[2] s., s. 313-354, [2] s.	46	   1
S. [?], [289-312], [?]	24	   1
S. [?], [265-288], [?]	24	   1
[2] s., s. 241-274 [po. 241-264], [2] s.	28	   1
S. [?], [217-240], [?]	24	   1
[?] s., s. [189-216], [?] s.	28	   1
S. [?], [149-188], [?]	40	   1
S. [?], [129-148], [?]	20	   1
[2] s., s. 105-128	26	   1
S. [?], [81-104], [?]	24	   1
[2] s., s. 41-82, [2] s.	46	   1
[?], [1-40], [?] s.	40	   1
[8], 1-192 s.	200	   1
[16], 1-296 762 [po. 297] 298-300 [301-302] s. (s. [302] tyhjä)	318	   1
[2], [1] 2-192 192-235 [po. 193-236] [237-332]	334	   1
[4], [1] 2-310 [311-322] s.	327	   1
[16], 1-238 [239-264] s. (s. [2], [263-264] tyhjät)	280	   1
[126] s.	126	   1
[8], 1-196 s.	204	   1
[6], 1-306 s.	312	   1
[8], 1-320 s.	328	   1
[4], 1-48 [49-50] s.	54	   1
[34], 1-776 783 [po. 777] [778-808] s., frontispiisi, [6] kuvalehteä, [8] karttalehteä	870	   1
[36], 1-208 [209-224] s.	260	   1
[?], 1-8 s.	8	   1
[8], [1] 2-109 [110] s.	227	   1
[16], [1-2] 3-199 [200] s. (s. [16] tyhjä)	216	   1
[12] 1-99 200 [po. 100] s.	112	   1
[16], 1-199 [200-206] s.	222	   1
[16], 1-172 [173-174] s.	190	   1
[8] 1-106 117 [po. 107] 108-126 [127-128] s.	128	   1
[4], [1] 2-100 s.	104	   1
[6] 1-53 52 [po. 54] 55 54-64 [po. 56-66] s.	72	   1
[8], 1-210 [211-212], [12] s.	232	   1
[6], 426, [8], 168 s.	440	   1
[10], 1-67 69-110 [po. 68-109], 1-522 529 [po. 523] [524-532] s.	542	   1
[?-] [1-34] 35-497[-?] s.	497	   1
[10], [1] 2-127 [128-132] s. (s. [2] ja [132] tyhjät)	277	   1
[194] s.	194	   1
[220] s.	220	   1
[200] s.	200	   1
[?-] 5-94 [-?] s.	94	   1
[64] s. (s. [2] ja [6] tyhjät)	50	   1
[4], 564, [12] s.	580	   1
[1-9] 10-95 66 [po. 96] s.	96	   1
[51], 1-9 9 [po. 10] 9-385 [po. 11-386] [386-387] s.	438	   1
300 [56] s. (s. [2] tyhjä)	68	   1
[1], 1-19 s.	20	   1
[7], 1-36 [37-49] l.	56	   1
1-128[-130?] (useita sivunumerointivirheitä)	130	   1
[4], [1] 2-72 s.	76	   1
[34], 1-566 s.	600	   1
[18], [1] 2-318 s. (s. [2] tyhjä)	338	   1
[12], 670, [2], 96 s.	684	   1
[12], 1-670 [671-672] s. (s. [2] ja [671-672] tyhjät)	684	   1
[10], 1-171[-?] s.	181	   1
[1-2] 3-232 s. (s. [2] tyhjä)	232	   1
[1-2] 3-103 [104-108] s.	108	   1
[256] s.	256	   1
[2], 1-286 [287-288] s.	290	   1
[248] s. (s. [248] tyhjä)	248	   1
[252] s.	252	   1
[200] s. (s. [2] ja [16] tyhjät)	50	   1
[248] s. (s. [2], [246] tyhjät)	50	   1
[64] s. (s. [4] tyhjä)	64	   1
[1-3] 4-30 21 [po. 31] [32] s. (s. [32] tyhjä)	31	   1
[8], 144, [6] s.	158	   1
[16], 1152, [8], 40 s.	1176	   1
[16], 96, 126, [2], s. 127-854, [8] s.	880	   1
[8], 352 [po. 351], [5] s.	364	   1
[24] 1-199 100-247 [po. 200-247] 242 [po. 248] s.	247	   1
[16], 300 [po. 302] s.	318	   1
[16], 416 s.	432	   1
[4], 286 [po. 288] s.	292	   1
[8], 288 s.	296	   1
[16], 152, 10024 [po. 1026], [14] s.	1208	   1
[8], 343 [po. 344] s.	352	   1
[2], 1-54 s.	56	   1
[12], [1] 2-95 [96] s. (s. [96] tyhjä)	299	   1
[16], 178 s.	194	   1
[16], 392, 648, 208 s.	664	   1
[64] s. (s. [64] tyhjä)	64	   1
[48] s. (s. [48] tyhjä)	48	   1
[16 ...?] s.	48	   1
[62-?] s.	62	   1
[40]	40	   1
[10], 64, [4] s.	78	   1
[4], 68, [8] s.	80	   1
[8], 19, [5] s.	32	   1
[10], 19, [3] s.	32	   1
[8], 37, [3] s.	48	   1
[8], 57 [po. 56] s.	64	   1
[10], 33, [7] s.	50	   1
[8], 16, [4] s.	28	   1
[6], 18, [2] s.	26	   1
[8], [1] 2-23 33 [po. 24] s.	32	   1
[10], 16, [2] s.	28	   1
[12], 48, [4] s.	64	   1
[16], [1] 2-45 [46-52] s.	69	   1
[12], 52 s.	64	   1
[8], [1] 2-37 [38-40] s.	49	   1
[8], 61, [3] s.	72	   1
S. [121-152]	32	   1
S. [105-120]	16	   1
[4] s., s. 89-103, [4] s.	23	   1
[4] s., s. 73-88, [4] s.	24	   1
S. [57-72]	16	   1
S. [49-56]	8	   1
[16], 32 s.	48	   1
S. [129-144]	16	   1
S. [97-112]	16	   1
S. [81-96]	16	   1
[4] s., s. 49-64, [4] s.	24	   1
S. [33-48]	16	   1
[12], [1] 2-68 s.	80	   1
[8], 26 [po. 36] s.	44	   1
[6], [1] 2-17 81 [po. 18] 19-20 s.	26	   1
[4] s., s. 351-367, [3] s.	24	   1
S. [?], [303-318 po. 273-288?]	16	   1
S. [?], [287-302 po. 257-272?]	16	   1
[8] s., s. 271-286 [po. 241-256]	24	   1
[10] s., s. 255-270 [po. 225-240]	26	   1
[4] s., s. 239-254 [po. 209-224]	20	   1
[8] s., s. 223-338 [po. 193-208]	24	   1
[4] s., s. 207-222 [po. 177-192]	20	   1
[4] s., s. 191-206 [po. 161-176]	20	   1
[2] s., s. 175-190 [po. 145-160]	18	   1
S. [?], [159-174 po. 129-144?]	16	   1
S. [?], [143-158 po. 113-128?]	16	   1
S. [?], [127-142 po. 97-112?]	16	   1
[6] s., s. 49-64	22	   1
[1-3] 4-32 35-39 [po. 33-37] [38] s.	43	   1
[4], [1] 2-150 [151-156] s.	161	   1
[4], [1] 2-54 s.	58	   1
[8], [1] 2-169 [170] s. (s. [170] tyhjä)	517	   1
[8], [1] 2-178 s.	186	   1
[8], [1] 2-128 s.	136	   1
[4], [1] 2-135 138-153 [po. 136-151] 156-263 [po. 152-259] 246 [po. 260] s.	265	   1
[2], [1] 2-147 [148-150] s.	153	   1
[4], [1] 2-70, [71-76] s.	81	   1
[I-III] IV-VIII, [1-3] 4-276 s.	276	   1
[1-5] 6-52 s.	52	   1
[2], [1] 2-75 [76] s. (s. [76] tyhjä)	229	   1
[2], 87, [1] s.	90	   1
[1-2] 3-159 158 [po. 160] s.	160	   1
[4], [1] 2-155 155 [po. 156] s.	160	   1
[1] 2-111 [112] s. (s. [112] tyhjä)	335	   1
[24] s. (s. [24] tyhjä	24	   1
3 yhteenliimattua arkkia	4	   1
[1-2] 3-39 [40] s. (s. [40] tyhjä)	40	   1
[1-3] 4-39 [40-56] s.	56	   1
[1-3] 4-29 [30-36] s.	36	   1
[1-2] 3-72 s.	72	   1
[76] s. (s. [72] tyhjä)	76	   1
[1-3] 4-35 [36-48] s.	48	   1
[140] s.	140	   1
[2], 19, [3] s.	24	   1
[2], [1] 2-70 [71-88] s. (s. [88] tyhjä)	179	   1
72, [56] s.	128	   1
[1-2] 3-41 [42-44] s.	44	   1
[22] s. (s. [2] js [22] tyhjät)	10	   1
[74] s.	74	   1
[1-2] 3-31 [32] s.	32	   1
[1-3] 4-44 s.	44	   1
[1-4] 5-116 s.	116	   1
[8], 192 s.	200	   1
[14] s. (s. [2] tyhjä)	14	   1
[2], [1] 2-76 [77-78] s. (s. [78] tyhjä)	159	   1
[8], [1] 2-104 s. (s. [2] tyhjä)	114	   1
[2], 1-28 [29-30] s.	32	   1
[134] s. (s. [2] tyhjä)	134	   1
[54-?] s.	54	   1
[22-?] s.	22	   1
[4] s. (s. [2-4] tyhjät)	4	   1
56, [18] s.	74	   1
[1-4] 5-44 s.	44	   1
[1] lehti ;;Versopuoli tyhjä.	2	   1
[2], [1] 2-29 [30-32] s.	35	   1
[94] s.	94	   1
[4] s. (s. [2] ja [4] tyhjät)	NA	   1
[8], [1] 2-216 s.	224	   1
122, [6] s.	128	   1
[364] s.	364	   1
9 yhteenliimattua lehteä	18	   1
[1-2] 3-52 s.	52	   1
[4], [1] 2-39 [40-52] s.	57	   1
[4], [1] 2-47 [48-56] s.	61	   1
[6], [1] 2-27 [28-34] s.	41	   1
[4], [1] 2-62 [63-80] s.	85	   1
[2] [1] 2-47 [48-60] s.	63	   1
[8], [1] 2-60 [61-90] s.	99	   1
[4], [1] 2-40 [41-42] s.	47	   1
[20] s. (s. [20]	20	   1
[36] s. (s. [34] ja [36] tyhjät)	4	   1
[12], 1-63 [64] s.	76	   1
[4], [1] [2-75] [76] s.	155	   1
[4] [1] 2-43 [44-52] s.	57	   1
[28] s. (s. [6] ja [28])	28	   1
[4] 1-95 [96] s.	195	   1
[8], [1] 2-246, [2], 247-262 s.	273	   1
[4], 1-84 s. (s. [2] tyhjä)	88	   1
[1-4] 5-34 [35-40] s.	40	   1
[2], [1] 2-47 [48-56] s.	59	   1
[4], [1] 2-51 [52-152] s.	157	   1
[38] s. (s. [2] tyhjä)	38	   1
[56] s. (s. [56] tyhjä)	56	   1
[2], 1-27 [28] s. (s. [2] tyhjä)	30	   1
[28] s. (s. [2] ja [28] tyhjät)	10	   1
[8], 1-39 [40] s. (s. [2] ja [40] tyhjät)	48	   1
[3], 22 (+1) s.	3	   1
[1-5] 6-32 s.	32	   1
[1-3] 2-24 s.	24	   1
[1-3] 4-58	58	   1
[2], [1] 2-26 [27-30] s.	33	   1
[2], [1] 2-28 28-43 [po. 29-44] [45-64] s.	66	   1
[2-?] s. (s. [2] tyhjä)	2	   1
[2], 64, [20] s.	86	   1
[2], [1] 2-31 [32-40], [2] s.	45	   1
[1-3] 4-24 [25-28] s.	28	   1
1 arkintunnukseton lehti (verso tyhjä)	NA	   1
[30] s. (s. [2] tyhjä)	30	   1
[1-3] 4-35 [36-40] s. (s. [40] tyhjä)	40	   1
[1-3] 4-23 [24-28] s.	28	   1
[1-5] 6-72 [73-94] s.	94	   1
[1-5] 6-27 [28-36] s. (s. [36] tyhjä)	36	   1
[8] s. (s. [2] ja [4] tyhjät)	4	   1
[4] s. (s. [1] ja [4] tyhjät)	4	   1
[42] s. (s. [2] tyhjä)	42	   1
[4], 1-28 s.	32	   1
[4], 44, [22] s.	70	   1
[8], 72 s.	80	   1
[1 lehti (verso tyhjä)]	2	   1
[8], [1] 2-78 [79-86] s. (s. [2] tyhjä)	97	   1
[10], [1] 2-70 [71-74] s.	85	   1
[44-?] s.	44	   1
[6], [1-3] 4-278 [279-282] ; useita sivunumeroimattomia jaksoja, useita sivunumerointivirheitä	288	   1
[1-2] 3-15 [16] s. (s. [16 tyhjä)	16	   1
[4], [1] 2-190 [191-192] s.	197	   1
[1-3] 4-140 [141-144] s.	144	   1
[4], [1] 2-136 [137-140] s.	145	   1
[8], [1] 2-88 s.	96	   1
[16], [1] 2-319 [320-328] s.	345	   1
[8], [1-3] 4-52 s.	60	   1
[2], [1] 2-162 s.	164	   1
[1-13] 14-124 [125-128] s.	128	   1
[1-2] 3-7 [8] s.	8	   1
[1] 2-127 [128] s. (s. [128] tyhjä)	383	   1
[1-2] 3-71 [72] s. (s. [72] tyhjä)	72	   1
[4], [1] 2-72 [73-74] s.	79	   1
[14], [1] 2-82, [14], [1] 2-174 [175-182] s.	212	   1
[8], [1-3] 4-252 s.	260	   1
[1-3] 4-45 [46] s.	46	   1
[1] 2-39 [40] s. (s. [40] tyhjä)	119	   1
[4], [1-3] 4-283 [284] s.	288	   1
[1-2] 3-21 [22] s. (s. [22] tyhjä)	22	   1
[1-5] 6-67 [68] s. (s. 68 tyhjä)	68	   1
[1-5] 6-160 s.	160	   1
[1-7] 8-51 [52] s. (s. [52] tyhjä)	52	   1
[1-2] 3-71 [72] s. (s. 72 tyhjä)	72	   1
[1-2] 3-70 [72] s.	72	   1
[1-3] 4-108 s.	108	   1
[1-2] 3-96 s.	96	   1
139, [1] s.	140	   1
[1-5] 6-33 [34] s. (s. [34] tyhjä)	34	   1
[1-3] 4-24[-?] s.	24	   1
[6], [1] 2-86 [87-90] s. (s. [90] tyhjä)	187	   1
[1-3] 4-58 [59-60] s. (s. [59-60] tyhjät)	60	   1
[1-2] 3-70 [71-71] s. (s. [71-72] tyhjät)	72	   1
[1-2] 3-70 [71-72] s. (s. [71-72] tyhjät)	72	   1
[1-3] 4-71 [72] s.	72	   1
[1-2] 3-71 [72] s.	72	   1
[14], [1] 2-172 [173-184] s.	199	   1
[16], [1] 2-184 [185-204] s.	221	   1
[8], 126, [12] s.	146	   1
[2] s., A1-4 = [10] s.	12	   1
[?], ?, [?], 516 s.	516	   1
[2], 408, [12], 295 s.	422	   1
30 a	68	   1
[18], 504, [12], 542 s.	572	   1
67 3/4 arkkia	50	   1
