author	author_gender
Rinne, Juhani (1872-1950)	male
Roering, Abrahamus Johannes (1710-1759)	male
Rönnbäck, Ernst (1838-1893)	male
Roos, Jeja	female
Roos, Magnus Friedrich	male
Roschier, R H	NA
Rosenqvist, V T	NA
Ross, Isaacus Hermanni (1706-1783)	male
Rudeen, Torsten (1661-1729)	male
Runeberg, Johan Ludvig (1804-1877)	male
Ruokonen, David Davidson	male
Ruotsalainen, Armas	male
Ryle, J C	male
Ryömä, Hannes	male
Sahlberg, Carolus Reginaldus (1779-1860)	male
Salenius, J M	male
Salmela, Marja (1875-1924)	female
Salmelainen, A E	male
Sandelin, L H	NA
Sanden, Gabriel	male
Sankey, Ira D	female
Sanson, Nicolas	male
Saxén, Uno	male
Schaefer, Johannes Henrici (1657-1725)	male
Schartau, Henrik	male
Schefferus, Johannes Johannis (1621-1679)	male
Schmid, Johann Christoph Von	male
Schoug, Ernst Hjalmar Theodor	male
Schulman, Hjalmar	male
Schultén, Nathanael Gerhard Af (1750-1825)	male
Schumacher, Heinrich Vollrat	male
Sederholm, C R (1818-1903)	NA
Setälä, E N (1864-1935)	NA
Seton, Ernest Thompson	male
Sextius, 	NA
Shakespeare, William (1564-1616)	male
Sheldon, Charles M	male
Sjöman, Isak Edvard (1840-1912)	male
Sjöström, Axel Gabriel (1794-1846)	male
Sjöström, W	NA
Skovgaard-petersen, C	NA
Sleincour, Johannes Petrus	male
Snell, Johann Peter Ludwig (1764-NA)	male
Snellman, G R	NA
Snellman, Johan Vilhelm (1806-1881)	male
Snellman, Paavo	male
Soldan-brofeldt, Venny	female
Sourander, Gustaf Johan	male
Stachaeus, Laurentius Zachariae (1696-1696)	male
Ståhlberg, K J	male
Stead, F Herbert	male
Steen, Magnus Magni (1660-1697)	male
Steiner, Rudolf	male
Stevenson, Robert Louis	male
Suchtelen, Jan Peter Van	male
Sundell, A F	male
Sundman, Gösta	male
Sunila, J E	male
Suomalainen, Jaakko	male
Suomalainen, K (1850-1907)	NA
Suuronen, Philip	male
Svahnström, A R	male
