original	polished	Count
VIII, 336 s.	12	2
III, 37 s.	2	2
11, 11 s.	2	2
80, [4] s.	2	2
184, [4] s.	70	2
[7], 164 s.	35	2
32, [2] s.	335	2
589 s.	6	2
598 s.	3	2
VIII, 67 s.	276	2
[187] s.	2	2
124, [4] s.	4	2
[2], 85 s.	2	2
[14] s. (s. [14] tyhjä)	35	2
206, [1] s.	2	2
[23] s.	8	2
694 s.	42	2
IV, 180 s.	432	2
563 s.	45	2
557 s.	40	2
546 s.	151	2
[2], 72 s.	2	2
973 s.	4	2
702 s.	16	2
459 s.	2	2
[2], [1] 2-101 [102] s.	3	2
[2] s., s. [27] 28-44	4	2
[2] s., s. 41-56	111	2
[2], [1] 2-16  s.	87	2
[2] s., s. [29]-44	12	2
[2] s., s. 33-44	32	2
[IV], 159 s.	50	2
93 s., [3] ilmoitussivua	5	2
10 s., 10 pl.	2	2
467 s.	3	2
832 s.	32	2
542 s.	38	2
55, [3] s.	31	2
[220] s.	6	2
[121] s.	2	2
[51] s.	19	2
[364] s.	52	2
[133] s.	2	2
[161] s.	2	2
[512] s.	2	2
902 s.	6	2
[387] s.	2	2
389 s.	31	2
612 s.	4	2
[119] s.	2	2
[140] s.	8	2
777 s.	48	2
VI, 96 s.	3	2
IV, 136 s.	8	2
404 s.	4	2
620 s.	37	2
797 s.	16	2
48 s., kuva	64	2
160, [2] s.	2	2
541 s.	3	2
920 s.	34	2
968 s.	58	2
1050 s.	16	2
636 s.	735	2
S. 1-320.	2	2
481 s.	32	2
[1-3] 4-39 [40] s. (s. [40] tyhjä)	5	2
42 s., 2 karttaa	3	2
123, [5] s.	2	2
388 s.	677	2
369 s.	53	2
288 s., kuva	8	2
220 s., 32 kuval.	30	2
624 s.	3	2
628 s.	3	2
534 s.	3	2
VI, 126 s.	3	2
685 s.	8	2
92 s., kuva	4	2
294 s., kuva	32	2
152 s. +	6	2
32 lehteä	2	2
VIII, 142 s.	2	2
S. [2], 11-18	2	2
[10], 18 s.	4	2
[1-3] 4-84 s.	3	2
792 s.	2	2
6 kuvaa, 6 s. tekstiä	48	2
684 s.	176	2
VIII, 104 s.	10	2
58 s., kuva	7	2
135, [4] s.	32	2
98, [3] s.	8	2
1 l.	40	2
[16], 178 s.	8	2
7 s., 20 lehteä kuvia	64	2
506 s.	2	2
S. 388-391.	623	2
S. 119-130.	9	2
64 s., kartta	79	2
VIII, 137 s.	4	2
[1-3] 4-39 [40] s.	15	2
[78] s.	4	2
[1-3] 4-35 [36] s. (s. [36] tyhjä)	3	2
[1-3] 4-442 [443-444] s.	48	2
[1-3] 4-122 [123-128] s.	8	2
[1] 2-30 s.	59	2
[4], 51, [1] s.	4	2
[2], [1] 2-29 [30] s.	60	2
[10] s. (s. [10] tyhjä)	4	2
[A]-B2. [8] s.	4	2
[2], [1] 2-33 [34] s.	48	2
[2], [1] 2-10 [11-12] s.	2	2
[2] s., s. 15-30	3	2
[2] s., s. 153-168	32	2
[2] s., s. 137-152	32	2
[2] s., s. 121-136	4	2
[2] s., s. 73-88	8	2
[2] s., s. 9-24	3	2
[2] s., s. 185-200	3	2
[2] s., s. 45-60	32	2
[2] s., s. [35]-50	23	2
[4], 7, [1] s.	4	2
[2] s., s. 31-42	8	2
[2], [1] 2-36 s.	4	2
[2] s., s. 89-96	4	2
[2] s., s. 81-88	26	2
[2] s., s. 73-80	17	2
60  s.	29	2
[2] s., s. 11-22	16	2
[2] s., s. 9-18	2	2
[2], 43, [1] s.	4	2
[2] s., s. 161-192	35	2
[2] s., s. [17]-33, [1] s.	2	2
92  s.	8	2
61 s., 1 taulukkol.	2	2
S. 1177-1372	30	2
672 s.	32	2
[6], 185 s.	2	2
676 s., muotokuva	9	2
VI, 84 s.	4	2
[4], 253 s.	10	2
[8 s.], 20 kuval.	22	2
V, 136 s.	2	2
30 s., 1 karta	2	2
24 l.	3	2
S. 156-221.	3	2
[10], 473 s., tekijän kuva ja kartta	24	2
S. 1-224	6	2
433 s.	2	2
[4], 69 s.	564	2
VI, 234 s.	2	2
[8], 483 s.	6	2
[2], II, 159 s.	2	2
[8], 100 s.	23	2
VIII, 279 s.	4	2
[2], 132 s.	2	2
[4], 162 s.	2	2
[8], 157 s.	205	2
16 s., kartta	2	2
123,  s.	76	2
[6], 202 s.	8	2
[4], 333 s.	2	2
[2], 234, [1] s.	2	2
[2], 229 s.	2	2
VIII, 432 s.	4	2
[4], 247 s.	48	2
[4], 186 s., 7 karttaa	24	2
[110] s.	2	2
IX, 266 s.	1	2
375, [1] s.	2	2
[4], 198 s.	2	2
[4], 316 s.	4	2
XVI, 216 s.	47	2
[2], 158 s.	4	2
XIV, 337 s.	2	2
XXX, [2], 138 s.	2	2
[3], 251 s.	2	2
[4], 598, V s.	2	2
3 nid. ([24] s.)	2	2
[180] s.	372	2
[8], 136 s.	2	2
21 s., 1 kuvaliite	55	2
[6], 141 s.	35	2
IV, 60 s.	99	2
144, IV s.	8	2
VIII, 189 s.	60	2
[4], 332 s.	4	2
S. 1-32	2	2
287, [1] s.	15	2
XI, 554, [1] s.	2	2
24 s., 4 pl.	11	2
[2], 183 s.	2	2
9 lehteä	2	2
[8], 143 s.	2	2
471 s.	576	2
345 s.	10	2
[2], 124 s.	24	2
[8], 247 s.	2	2
XLII, 338 s.	44	2
96, [2] s.	2	2
47      s.	6	2
XII, 170 s.	2	2
[116] s.	12	2
[2], 172 s.	8	2
[6], 72 s.	15	2
[4], 203 s.	434	2
[14 s.].	8	2
238, [2] s.	626	2
315, [1] s.	19	2
107, [2] s.	2	2
[8], 463 s.	4	2
203, [1] s.	481	2
[10], 457, [1] s.	34	2
V, 101 s.	39	2
VII, 171 s.	4	2
8   s.	65	2
[2], 208, [1] s.	2	2
[4], 76, [1] s.	4	2
VIII, 43, [1] s.	2	2
VI, 44 s.	225	2
[39] s.	4	2
[6], 87 s.	60	2
[6], 320 s.	582	2
[2], 49 s.	2	2
172, [2] s.	20	2
11, [1] s., 2 kuvaliitettä	4	2
41 s., 1 karttaliite	28	2
383, [1]  s.	4	2
VII, [1], 200 s.	88	2
205, [1] s.	576	2
111, [2] s.	2	2
[11 s.].	12	2
93      s.	77	2
72 s., 1 karttaliite	580	2
VIII, 285 s.	10	2
XVI, 327 s.	40	2
47, [1]  s.	104	2
128  s.	3	2
IV, 377, VII, 520 s.	2	2
[4], 238, [1] s.	10	2
[4], 157, [2] s.	6	2
[6], 130 s.	7	2
383, [1] s.	4	2
179, [1], 42 s.	4	2
234, [1] s.	303	2
11 s., 1 kuvaliite	77	2
29 s., taululiite	24	2
[2], 67, [1] s.	4	2
[8], 136, [1] s.	260	2
[4], 38 s.	6	2
[27] s.	4	2
[8], 29, [1] s.	18	2
57, [2] s., 3 kuvaliitettä, 1 karttaliite	50	2
XX, 147 s.	4	2
186, [1] s.	51	2
