original	gatherings.original	width.original	height.original	obl.original	gatherings	width	height	obl	area	Count
4:o.	4to	NA	NA	FALSE	4to	 22.0	 28.0	 0	  616.00	12441
8:o.	8vo	NA	NA	FALSE	8vo	 13.0	 19.0	 0	  247.00	 3251
2:o.	2fo	NA	NA	FALSE	2fo	 30.0	 45.0	 0	 1350.00	 2113
12:o.	12mo	NA	NA	FALSE	12mo	 12.5	 19.0	 0	  237.50	  400
1:o.	1to	NA	NA	FALSE	1to	 60.0	 90.0	 0	 5400.00	  358
[4:o].	4to	NA	NA	FALSE	4to	 22.0	 28.0	 0	  616.00	  206
4:o +	4long	NA	NA	FALSE	4long	 27.0	 35.0	 0	  945.00	  176
16:o.	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	  174
[8:o].	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	  173
NA	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	  136
poikittais-1:o.	1to	NA	NA	 TRUE	1to	 90.0	 60.0	 1	 5400.00	  102
[?:o].	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	   77
8:o +	8long	NA	NA	FALSE	8long	 13.0	 22.0	 0	  286.00	   69
kapea/pitkä 12:o.	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	   65
[2:o].	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	   59
poikittais-1:o [1/2:o?].	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	   29
poikittais-1:o [-1/2:o?].	NA	NA	NA	 TRUE	NA	NA	NA	NA	NA	   28
[1:o].	1to	NA	NA	FALSE	1to	 60.0	 90.0	 0	 5400.00	   25
[12:o].	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	   18
fol.	2fo	NA	NA	FALSE	2fo	 30.0	 45.0	 0	 1350.00	   14
poikittais-2:o.	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	   11
19 cm.	NA	NA	 19.0	FALSE	NA	 13.0	 19.0	NA	  247.00	    7
[1/2:o?].	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	    7
