original	polished	Count
Veijola, Yrjö.	Veijola, Yrjö	14
Skutnabb, Akseli.	Skutnabb, Akseli	14
Kiljander, Ludvig Gabriel.	Kiljander, Ludvig Gabriel	14
Söderhjelm, Alma.	Söderhjelm, Alma	14
Palomaa, Veikko.	Palomaa, Veikko	14
Onerva, L.	Onerva, L	14
Hernberg, Alarik.	Hernberg, Alarik	14
Serlachius, Julian.	Serlachius, Julian	14
Ehrnrooth, Leo.	Ehrnrooth, Leo	14
Kilpeläinen, E.	Kilpeläinen, E	14
Wiklund, K. B.	Wiklund, K. B	13
Talmage, T. De Witt.	Talmage, T. De Witt	13
Flodin, Karl.	Flodin, Karl	13
Ruuth, Martti.	Ruuth, Martti	13
Sundman, Gösta.	Sundman, Gösta	13
Jotuni, Alfred.	Jotuni, Alfred	13
Törngren, Adolf.	Törngren, Adolf	13
Karsten, Petter Adolf.	Karsten, Petter Adolf	13
Tucker, Charlotte.	Tucker, Charlotte	13
Daudet, Alphonse.	Daudet, Alphonse	13
Pettinen, August.	Pettinen, August	13
Rudin, Erik Georg Waldemar Napoleon.	Rudin, Erik Georg Waldemar Napoleon	13
Macduff, J. R.	Macduff, J. R	13
Grotenfelt, Ossian.	Grotenfelt, Ossian	13
Lindén, Georg.	Lindén, Georg	13
Andersin, Hanna.	Andersin, Hanna	13
Sirola, Yrjö.	Sirola, Yrjö	13
Bergh, John.	Bergh, John	13
Forstén, Alma.	Forstén, Alma	13
Andrejev, Leonid.	Andrejev, Leonid	13
Reinilä, Edit.	Reinilä, Edit	13
Tanner, V.	Tanner, V	13
Rikala, Lauri.	Rikala, Lauri	13
Mattsson, Guss.	Mattsson, Guss	13
Lehtimäki, Konrad.	Lehtimäki, Konrad	13
De Lacy, Peter.	De Lacy, Peter	13
Hultin, Tekla.	Hultin, Tekla	12
Quirsfeld, Johann.	Quirsfeld, Johann	12
Wesley, John.	Wesley, John	12
Krohn, Ilmari.	Krohn, Ilmari	12
France, Anatole.	France, Anatole	12
Uschakoff, I.	Uschakoff, I	12
Janson, Kristofer.	Janson, Kristofer	12
Levänen, S.	Levänen, S	12
Hällstén, K.	Hällstén, K	12
Tersteegen, Gerhard.	Tersteegen, Gerhard	12
Wrede, K. A.	Wrede, K. A	12
Pallin, Johan Rudolf.	Pallin, Johan Rudolf	12
Reijonen, Juho.	Reijonen, Juho	12
Blanche, August.	Blanche, August	12
Hamnerin, Nils.	Hamnerin, Nils	12
Beecher-Stowe, Harriet.	Beecher-stowe, Harriet	12
Westerlund, F. W.	Westerlund, F. W	12
Thunberg, Carolus Petrus.	Thunberg, Carolus Petrus	12
Pärnänen, Aapo.	Pärnänen, Aapo	12
Pätiälä, Fredrik Joel.	Pätiälä, Fredrik Joel	12
Sheldon, Charles M.	Sheldon, Charles M	12
Leinberg, Georg.	Leinberg, Georg	12
Hahl, Jalmari.	Hahl, Jalmari	12
Neovius, Arvid.	Neovius, Arvid	12
Wells, H. G.	Wells, H. G	12
Cajander, Ellen.	Cajander, Ellen	12
Sucksdorff, Julia.	Sucksdorff, Julia	12
Poppius, B.	Poppius, B	12
Calonius, Allan.	Calonius, Allan	12
Witting, Rolf.	Witting, Rolf	12
Paunu, U.	Paunu, U	12
Långfors, Arthur.	Långfors, Arthur	12
Eerola, Eero.	Eerola, Eero	12
Aarnisalo, Otto.	Aarnisalo, Otto	12
Miller, J. R.	Miller, J. R	12
Schildt, Runar.	Schildt, Runar	11
Mantere, Oskari.	Mantere, Oskari	11
Zilliacus, Victor.	Zilliacus, Victor	11
Wilskman, Atle.	Wilskman, Atle	11
Thesleff, Arthur.	Thesleff, Arthur	11
Du Chaillu, Paul B.	Du Chaillu, Paul B	11
Kanninen, August.	Kanninen, August	11
Stevenson, Robert Louis.	Stevenson, Robert Louis	11
Sievers, Richard.	Sievers, Richard	11
Ruin, Waldemar.	Ruin, Waldemar	11
Puškin, Aleksandr.	Puškin, Aleksandr	11
Kolster, Rud.	Kolster, Rud	11
Wilcox, Thomas.	Wilcox, Thomas	11
Fagerlund, L. W.	Fagerlund, L. W	11
Churberg, Waldemar.	Churberg, Waldemar	11
Paavo-Kallio, Esa.	Paavo-kallio, Esa	11
Majander, Salomon.	Majander, Salomon	11
Gogol, Nikolai.	Gogol, Nikolai	11
Ojala, Herman.	Ojala, Herman	11
Jääskeläinen, Kaapro.	Jääskeläinen, Kaapro	11
Freudenthal, Edla.	Freudenthal, Edla	11
Olsoni, Anna.	Olsoni, Anna	11
Suttner, Bertha von.	Suttner, Bertha Von	11
Berg, Alfr.	Berg, Alfr	11
Meyer, F. B.	Meyer, F. B	11
Lillqvist, Otto.	Lillqvist, Otto	11
Wagner, Charles.	Wagner, Charles	11
Besant, Annie.	Besant, Annie	11
Salminen, Väinö.	Salminen, Väinö	11
Lindman, Karl F.	Lindman, Karl F	11
Crohns, Hjalmar.	Crohns, Hjalmar	11
Laurila, K. S.	Laurila, K. S	11
