original	polished	Count
Poppius, B.	Poppius, B	12
Hagfors, K. J.	Hagfors, K. J	12
Hagelstam, Wentzel.	Hagelstam, Wentzel	12
Pätiälä, Fredrik Joel.	Pätiälä, Fredrik Joel	12
Neovius, Arvid.	Neovius, Arvid	12
Pallin, Johan Rudolf.	Pallin, Johan Rudolf	12
Brotherus, V. F.	Brotherus, V. F	12
Calonius, Allan.	Calonius, Allan	12
Långfors, Arthur.	Långfors, Arthur	12
Korhos-Heikki.	Korhos-heikki	12
Wrede, K. A.	Wrede, K. A	12
Witting, Rolf.	Witting, Rolf	12
Hultin, Tekla.	Hultin, Tekla	12
Samuli S.	Samuli S	12
Sucksdorff, Julia.	Sucksdorff, Julia	12
Runeberg, J. W.	Runeberg, J. W	12
Relander, H. M. J.	Relander, H. M. J	12
Paunu, U.	Paunu, U	12
Miller, J. R.	Miller, J. R	12
E. L-n.	E. L-n	12
Leinberg, Georg.	Leinberg, Georg	12
Lavonius, W. A.	Lavonius, W. A	12
Eerola, Eero.	Eerola, Eero	12
Krohn, Ilmari.	Krohn, Ilmari	12
Cajander, Ellen.	Cajander, Ellen	12
Blanche, August.	Blanche, August	12
Aarnisalo, Otto.	Aarnisalo, Otto	12
Palomaa, M. H.	Palomaa, M. H	12
Gripenberg, G. A.	Gripenberg, G. A	12
Maunu, J. A.	Maunu, J. A	12
Wells, H. G.	Wells, H. G	12
Janson, Kristofer.	Janson, Kristofer	12
Hahl, Jalmari.	Hahl, Jalmari	12
Thunberg, Carolus Petrus.	Thunberg, Carolus Petrus	12
Laurentius Petri Aboicus.	Laurentius Petri Aboicus	12
Tersteegen, Gerhard.	Tersteegen, Gerhard	12
Quirsfeld, Johann.	Quirsfeld, Johann	12
Carstenius, Henricus Henrici, vanh.	Carstenius, Henricus Henrici	12
Hamnerin, Nils.	Hamnerin, Nils	12
Du Chaillu, Paul B.	Du Chaillu, Paul B	11
Lillqvist, Otto.	Lillqvist, Otto	11
Freudenthal, Edla.	Freudenthal, Edla	11
Thesleff, Arthur.	Thesleff, Arthur	11
Sievers, Richard.	Sievers, Richard	11
Ruin, Waldemar.	Ruin, Waldemar	11
Olsoni, Anna.	Olsoni, Anna	11
Meyer, F. B.	Meyer, F. B	11
Majander, Salomon.	Majander, Salomon	11
Fagerlund, L. W.	Fagerlund, L. W	11
Kolster, Rud.	Kolster, Rud	11
Spjut, Einar.	Spjut, Einar	11
Schildt, Runar.	Schildt, Runar	11
Wilskman, Atle.	Wilskman, Atle	11
Thillot, Alfr.	Thillot, Alfr	11
Castrén, Zachris.	Castrén, Zachris	11
Berg, Alfr.	Berg, Alfr	11
Homén, E. A.	Homén, E. A	11
Crohns, Hjalmar.	Crohns, Hjalmar	11
Paavo-Kallio, Esa.	Paavo-kallio, Esa	11
Lundström, Carl.	Lundström, Carl	11
Lindman, Karl F.	Lindman, Karl F	11
Laurila, K. S.	Laurila, K. S	11
Killinen, Kust.	Killinen, Kust	11
