original	polished	Count
Gelsingfors'	Helsinki	3
Hankoniemi	Hanko	3
Brahestad	Raahe	3
Piikkis	Piikkiö	3
Köbenhavn	Copenhagen	3
Stettin	Szczecin	3
Strassburg	Strasbourg	3
Parikkala	Parikkala	3
Kauvatsa	Kauvatsa	3
[Fitchburg (Mass.)]	Fitchburg MA	3
[Käkisalmi]	Käkisalmi	3
Piikkiö	Piikkiö	3
Sääksmäki	Sääksmäki	3
Malm	Malmö	3
Astoria (Ore)	Astoria OR	3
Brooklyn (NY)	New York NY	3
[Duluth (Minn.)]	Duluth MN	3
Amstelodami	Amsterdam	3
Kiøbenhavn	Copenhagen	3
[Stockholmisa ja Turusa]	Stockholm	3
[Tartto ]	Tartu	3
Prändätty Wasasa	Vaasa	3
[Reval]	Tallinn	3
Carlscrona	Karlskrona	3
Kiobenhavn	Copenhagen	3
Petersburg	St Petersburg	3
[Wittebergae]	Wittenberg	3
Stokholmis	Stockholm	3
[Hamburg]	Hamburg	3
Stokholm	Stockholm	3
[Göteborg]	Gothenburg	3
Rigae Livonum	Riga	3
Marpurgi Cattorum	Marburg	3
Regiomonti Borvssiae	Kaliningrad	3
Strängnäs	Strängnäs	3
Stockholm och Åbo	Stockholm	3
Upsaliae impressa	Uppsala	3
Tryckt i Strengnäs	Strängnäs	3
Gedruckt zu Riga	Riga	3
Stregnesiae	Strängnäs	3
Scaris	Skara	3
Trykt i Upsala	Uppsala	3
[Rostochiae]	Rostock	3
Jenae	Jena	3
Londini Gothorum	Lund	3
Lugduni Batavorum	Leiden	3
[Präntätty Stockholmis]	Stockholm	3
Stockholmis präntätty	Stockholm	3
Tryckte i Åbo	Turku	3
Tryckt i Dorpt	Tartu	3
[Wiburgi?]	Vyborg	3
[Tryckt j Stockholm]	Stockholm	3
[Prentattu Stocholmis]	Stockholm	3
Aboae Finnorum	Turku	3
Stocholmiae	Stockholm	3
Turusa präntätty	Turku	3
Gedruckt zu Stockholm	Stockholm	3
Narvae	Narva	3
[Revaliae]	Tallinn	3
Exc. Aboae	Turku	3
Wasae	Vaasa	3
[Turusa prändätty]	Turku	3
Hauniae	Haunia	3
Prändätyt Turusa	Turku	3
Helsingissä ;;Theodor Sederholm	Helsinki	2
Tukhulmissa	Stockholm	2
Aboa	Turku	2
Urjala	Urjala	2
Suomussalmi	Suomussalmi	2
Koivisto	Koivisto	2
Jaakkima	Jaakkima	2
Esbo	Espoo	2
Kyrkslätt	Kirkkonummi	2
St. Pietarborissa	St Petersburg	2
St. Peterbourg	St Petersburg	2
[Porissa]	Pori	2
Ironwood, Mich.	Ironwood MI	2
[Narva]	Narva	2
Port Arthur, Ontario	Port Arthur ON	2
Hancock (Michigan)	Hancock MI	2
Cleveland	Cleveland OH	2
[Nuremberg]	Nürnberg	2
Jurjew	Jurjew	2
Carlskrona	Karlskrona	2
Lahdessa	Lahti	2
(Wasa), Nikolaistad	Vaasa	2
Weimar : Verlage des Industrie-Comptoirs	Weimar	2
[Londres]	London	2
A St. Petersbourg	St Petersburg	2
Aabenraa	Aabenraa	2
Gelʼsingfors'	Helsinki	2
[Sankt-Peterburg']	St Petersburg	2
Helsingborg	Helsingborg	2
S.Peterburg'	St Petersburg	2
Napoli	Naples	2
Copenhagen	Copenhagen	2
Haarlem	Haarlem	2
Hannover	Hannover	2
