name;synonyme
krakow;Krakow
Krakow;Krakow
Kristiinankaupunki;Kristiinankaupunki
kristinehamn;Kristinehamn
Kristinehamn;Kristinehamn
Kruunupyy;Kruunupyy
Kuopio;Kuopio
kuopio linnas;Kuopio
Kuopio linnas;Kuopio
kuortane;Kuortane
Kuortane;Kuortane
kurkijoki;Kurkijoki
Kurkijoki;Kurkijoki
kuusankoski;Kuusankoski
Kuusankoski;Kuusankoski
Kvevlaks;Koivulahti
kylmäkoski;Kylmäkoski
Kylmäkoski;Kylmäkoski
kyôpenhaminassa;Copenhagen
Kyo_penhaminassa;Copenhagen
kyrkslätt;Kirkkonummi
Kyrkslätt;Kirkkonummi
kyrö;Kyrö
Kyrö;Kyrö
La Chapelle Montligeon;La Chapelle-Montligeon
lahdessa;Lahti
Lahdessa;Lahti
Lahti;Lahti
Laihia;Laihia
laihiala;Laihiala
Laihiala;Laihiala
Laitila;Laitila
lammi;Lammi
Lammi;Lammi
landskrona;Landskrona
Landskrona;Landskrona
Lappeenranta;Lappeenranta
Lapua;Lapua
lapualla;Lapua
Lapualla;Lapua
Lausanne;Lausanne
Leeuwarden;Leeuwarden
leibzig;Leibzig
Leiden;Leiden
leipsic;Leibzig
Leipsic;Leipzig
Leipzig;Leipzig
Leipzig und Amsterdam;Leipzig
Le Mans;Le Mans
lepzig;Leibzig
Libau;Liep_ja
Liege;Liege
Liège;Liège
Linköpingisä;Linköping
linköpingisä;Linnköping
Linköping;Linköping
Lipsiae;Leipzig
lisboa;Lisbon
Lisboa;Lisbon
lith i åbo;Turk
Lith i Åbo;Turku
liverpoolissa;Liverpool
Liverpoolissa;Liverpool
lohja;Lohja
Lohja;Lohja
lohtaja;Lohtaja
Lohtaja;Lohtaja
loimaa;Loimaa
Loimaa;Loimaa
loimijoki;Loimijoki
Loimijoki;Loimijoki
lojo;Lohja
Lojo;Lohja
londini goth;London
londini gothorum;London
londini scanor;London
londini scanorum;London
london';London
Lontoo;London
Loviisa;Loviisa
Lubecae;Lu_beck
lubecae;Lybeck
Lu_beck;Lu_beck
lübeck;Lybeck
Lugd Batavorum;Leiden
luleå;Luleå
Luleö;Luleö
lundini goth;London
Lund;Lund
Lutetiae Parisiorum;Paris
Luulaja;Luleö
luulaja;Luulaja
Lvgd Batav;Leiden
L'vi_v;Lviv
Lvtetiae Parisorvm;Paris
maaninka;Maaninka
Maaninka;Maaninka
Maarianhamina;Maarianhamina
Maastricht;Maastricht
Macon;Macon
madrid;Madrid
Madrid;Madrid
maestricht;Maastricht
Magdeburg;Magdeburg
Malm;Malmö
malmö;Malmö
Malmö;Malmö
mänttä;Mänttä
Mänttä;Mänttä
mäntyharju;Mäntyharju
Mäntyharju;Mäntyharju
Marburg;Marburg
marttila;Marttila
Marttila;Marttila
meime a_ Åbo;Turku
meime Aboae;Turku
meime a Stockholm;Stockholm
meime a_ Stockholm;Stockholm
meime Athenis Auräicis sic;NA
meime Gryphisuualdiae;Greifswald
meime Gryphiswaldiae;Greifswald
meimeime_ a Abo;Turku
meime Wisingsbvrgi;NA
Messina;Messina
Mikkeli;Mikkeli
milano;Milano
Milano;Milano
Milwaukee WI;Milwaukee WI
minneapolis minn;Minneapolis
minneapolis mn;Minneapolis
Minneapolis MN;Minneapolis MN
minsk;Minsk
Minsk;Minsk
Mitau;Jelgava
Mitau und Leipzig;Jelgava
montpellier;Montpellier
Montpellier;Montpellier
montréal;Montreal
Montre_al;Montre_al
moscoosa;Moscow
Moscoosa;Moscow
moscou;Moscow
Moscou;Moscow
Moskova;Moscow
moskva;Moscow
Moskva;Moscow
mu helsinki;Helsinki
Mu Helsinki;Helsinki
münchen;München
Mu_nchen;München
mustasaari;Mustasaari
