"","publisher","n"
"519","G. W. Edlundin kustannusoy",12
"520","Gos. tip",12
"521","Harald",12
"522","Helluntaiherätys",12
"523","Hissa",12
"524","Hufvudstadsblad'in kirjapaino :;Edlund",12
"525","J. A. Carlbohm",12
"526","J. C. Frenckellin kirjan-prändisä",12
"527","J. Länkelä",12
"528","Johan A. Carlbohm",12
"529","Johan C. Frenckell",12
"530","K. Valovuori",12
"531","Karsten",12
"532","Kauppakp",12
"533","Kustannusliike Tarmo",12
"534","Kustannusosakeyhtiö Kirja",12
"535","Lantbruksstyrelsen",12
"536","Lindstedt",12
"537","Lutherska evangeliföreningen i Finland",12
"538","Luukkonen ja Kumpp",12
"539","O. B. Blomfelt",12
"540","O. W. Backman",12
"541","O.y. Valistus",12
"542","P. Tikkanen",12
"543","Pec<U+030C>atano v' Glavnom' Gidrografic<U+030C>eskom' Upravleni`i Morskogo Ministerstva",12
"544","Pyhän Sergein ja Hermanin veljeyskunta",12
"545","R. Boldt",12
"546","S. Hirzel",12
"547","Satakunnan kp",12
"548","Suomen Matkailijayhdistys",12
"549","Suomen N. M. K. Y. ja N. K. Y. liitto",12
"550","Suomen eläinsuojelusyhdistys",12
"551","Suomen osuuskauppojen keskusosuuskunta",12
"552","Turistföreningen i Finland",12
"553","Tytty Lagerstedt",12
"554","Työmies kustannusyhtiö",12
"555","Uusi Suometar",12
"556","Uususkonnollinen kustannusliike",12
"557","Veckans Krönikas redaktion",12
"558","W. Bensow",12
"559","Waseniuska Bokhandeln, jakaja",12
"560","Wennberg & Nordström",12
"561","a^ Petro Hansonio Acad. typog",12
"562","författare",12
"563","litteris Joh. Christoph. Frenckell & fil",12
"564","sa a^ Petro Hansson, Acad. typog",12
"565","tryckt aff Johan Winter",12
"566","Öfversättaren",12
"567","A. C. McClurg",11
"568","A. J. Nordström",11
"569","Alb. Bonnier",11
"570","Axel E. Lindgren",11
"571","Breitkopf & Härtel",11
"572","C. J. Wikberg",11
"573","C. Stolpe",11
"574","Edlundska bokhandeln i distr",11
"575","Englannin ja ulkomaan bibliaseura",11
"576","F. Liewendals lithogr. tr",11
"577","Finska Litteratur-sällskapet",11
"578","Frenckelliläinen kirjapaino",11
"579","Föreningen för arbetareskydd och socialförsäkring i Finland",11
"580","H. C. Merckellin leski",11
"581","Helminen",11
"582","Helsingfors Stads Elektricitetsverk",11
"583","Helsingin Soutuklubi",11
"584","Joh. C. Frenckell, R. Acad. typogr",11
"585","Joh. Kiämpe Reg. Acad. typogr",11
"586","Joh. Kiämpe, Kongl. Acad. boktr",11
"587","Joh. Kiämpe, Reg. Acad. typ",11
"588","Johan Christ. Frenckell",11
"589","Johan Georg Lange",11
"590","Johannes Vogelius, Acad. typogr",11
"591","Kongl. Acad. boktr. J. C. Frenckells enka",11
"592","Koulutarpeiden keskusliike",11
"593","Kustannus oy. Kirja",11
"594","Lagerspetz",11
"595","Lahden kaupunki",11
"596","Lars Hökerberg",11
"597","Lindstedtin antikvaarinen kirjakauppa",11
"598","Lit. F. Livendal",11
"599","Luth. Evang. fören",11
"600","Länkelä",11
"601","Maanmittauksen ylihallitus",11
"602","Martta-yhdistys",11
"603","Missionsbokhandeln",11
"604","N. P. Karbasnikoff",11
"605","Norstedt",11
"606","O. Palander",11
"607","Osuuskunta Veljeys",11
"608","Reg. Acad. typogr. Joh. Kiämpe",11
"609","SKS",11
"610","Savon työväen sanomalehti- ja kirjapaino-osuuskunta",11
"611","Suomalainen teologinen kirjallisuusseura",11
"612","Suomen Historiallinen Seura",11
"613","Suomen Lähetys-seura",11
"614","Suomen Muinaismuisto-yhdistys",11
"615","Suomen ammattijärjestö",11
"616","Suomen lähetys-seura",11
"617","Toimittajat",11
"618","Wasa Tidning",11
"619","aff Ignatio Meurer",11
"620","a^ Petro Hansson, Acad. typog",11
"621","m. Reg. Acad. Aboe¨ns. officin. Jacob Merckell",11
"622","s.l",11
"623","tryckt aff Petro Hansonio",11
"624","tryckt, hos directeuren och kongl. boktr. i stor-förstendömet Finland, Jacob Merckell",11
"625","Åbo Tidning",11
"626"," apud Jo. L. Wallium",10
"627"," apud Jo. Wal",10
"628","Ammattilaisten kirjapaino",10
"629","Blomfelt",10
"630","Eero Erkko",10
"631","Ej i bokhandeln",10
"632","Finlandia",10
"633","Finlands svenska nykterhetsförbund",10
"634","Finska Sågvärksägarne",10
"635","G. Ronelius",10
"636","G. W. Edlundin kustannus",10
"637","Geol. kommissionen",10
"638","Grönlund",10
"639","Helsingin kaupungin sähkölaitos",10
"640","Helsingin yliopisto",10
"641","Henrik Christofer Merckell",10
"642","Historiska Samfundet",10
"643","Hj. Hagelberg",10
"644","Holmström",10
"645","Ilkka",10
"646","Imperatorski`j senat",10
"647","J. F. Hellman",10
"648","Johan Christoph. Frenckellildä",10
"649","Johan. Christoph. Frenckell",10
"650","Johannes Vogelius",10
"651","Johannes Winter",10
"652","Kustannusliike Minerva",10
"653","Londicerin kirjan-prändisä",10
"654","Lutherilainen evankeliumi-yhdistys",10
"655","Macmillan",10
"656","Nuorsuomalaisen puolueen kanslia",10
"657","Nylenius",10
"658","Osuuskunta Länsi-Suomi",10
"659","Osuuskunta Visa",10
"660","P. Widerholm",10
"661","Petri Georgii Nyström",10
"662","Pohjalainen",10
"663","Pohjoismaiden merimieslähetys",10
"664","Raittiuden ystäwät",10
