"","publisher","n"
"394"," apud Joh. Laurentii Wallium, A. t",4
"395"," apud Joh. Laurentii Wallium, Reg. Univ. typogr",4
"396"," apud Johannem Laurentii Wallium, Regiae Univ. ibid. typogr",4
"397"," apud Johannem Wallium, Reg. Univ. typogr",4
"398","& typogr. reg. magn. duc. Finland Jacob Merckell",4
"399","Acad",4
"400","Acad. apud Petri Waldz",4
"401","And: Biörckman",4
"402","Anders Jacobsson Nordström",4
"403","C. A. Gottlund",4
"404","C. Brendeken",4
"405","C. Dele´n",4
"406","Christoph. Reusnerild",4
"407","Cuning:sa suomalaisesa prändisä",4
"408","Cuning:sesa suomalaisesa prändisä",4
"409","E. M. Flodström, Reg. Acad. typogr",4
"410","Frantz Phil. Paulssen",4
"411","Franz Philip Paulssen",4
"412","Frenckellin kirjan prändisä, omalla kustannuxella",4
"413","Frenckellin leski",4
"414","Georg Wilhelm Londicerildä. Kuningall. privil. kirjanpräntäjäldä",4
"415","H. C. Merckell, reg. typogr",4
"416","Henr. C. Merckell, kongl. boktr",4
"417","Ignatius Meurerin culutuxell",4
"418","Ioh. Bapt. Homanni",4
"419","Israel Falck",4
"420","J. Ch. Frenckell & fil",4
"421","J. L. Horrn",4
"422","J. L. Wall",4
"423","Joh. Kiämpe",4
"424","Joh. Kämpe, Kongl. Acad. boktr",4
"425","Joh. Kämpildä",4
"426","Joh. Laur. Horrn, Reg. Ant. archiv. typogr",4
"427","Johan Christopher Holmberg",4
"428","Johan Pehr Lindh",4
"429","Johannes Brendeken, Reg. Acad. typographus",4
"430","Johannes Christophorus Frenckell, Reg. Acad. typogr",4
"431","Johannis Christoph. Frenckell, Reg. Acad. typogr",4
"432","Kongl. finska boktryckeriet, hos Johan Arvid Carlbohm",4
"433","Kuning:sen acad. kirjan-präntäjäldä Joh. Christoph. Frenckellildä",4
"434","Kuning:sen acad. kirjan-präntäjän J. C. Frenckellin lesken tykönä",4
"435","L. M. Höjer",4
"436","Lars Salwiuxen tykönä",4
"437","Laurentii Salvii",4
"438","Lit. acad",4
"439","Olof Grahn",4
"440","Pehr Ol. Axmar",4
"441","Petri Georgi Nyström",4
"442","Petrus Hansson",4
"443","Pietari Hannuxen pojalda",4
"444","Simelius",4
"445","Wennberg och Nordström",4
"446","Wennberg och compagnie",4
"447","acad",4
"448","af Georg Wilhelm Londicer",4
"449","af Ignatio Meurer",4
"450","af Lars Wall",4
"451","aff Eskil Matzson",4
"452","aff Peter Hanson",4
